sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:count_validated,ADD_INFO:source_concept,ADD_INFO:itemid,ADD_INFO:item,ADD_INFO:abbreviation,ADD_INFO:category,ADD_INFO:islabresult,ADD_INFO:valueid,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
17014-11,Fusion Spinal/Harrington Rods,13,,13,Fusion-spinal/Harrington rods,17014,APACHEIV Post-operative neurologic,APACHEIV Post-operative neurologic,APACHE IV Diagnosen,0,11,0.58,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
18840-5,Bedside presence and continuous observation or operations for two or more hours per shift,14140,,14140,Aanwezigheid bij het bed en continue observatie of verrichtingen voor twee of meer uur per dienst,18840,IC NAS Monitoren,IC NAS Monitoren,NAS score,0,5,0.36,APPROVED,UNMATCHED,Patrick Thoral,1709160412258,0,Unmapped,,MAPS_TO,,,0,
12110-7,Daughter,3678,,3678,Dochter,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,7,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12110-8,Brother,669,,669,Broer,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,8,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18603-21,Operative Respiratory,108,,108,Operatief Respiratoir,18603,SEC_Apache II Hoofdgroep,SEC_Apache II Hoofdgroep,APACHE II Diagnosen,0,21,0.77,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
17008-4,"Aneurysm, abdominal aortic; with dissection",29,,29,"Aneurysm, abdominal aortic; with dissection",17008,APACHEIV Post-operative cardiovascular,APACHEIV Post-operative cardiovascular,APACHE IV Diagnosen,0,4,0.71,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
15710-2,"Yes, was already OK",8227,,8227,"Ja, was reeds in orde",15710,Pat_Ontslag_Instructies_Controles,Pat_Ontslag_Instructies_Controles,Transfer_Medisch_Checklist,0,2,0.56,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
12110-9,Sister,932,,932,Zus,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,9,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12110-10,Cousin,122,,122,Neef,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,10,0.68,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17014-12,"Hematoma, epidural, surgery for",40,,40,"Hematoma, epidural, surgery for",17014,APACHEIV Post-operative neurologic,APACHEIV Post-operative neurologic,APACHE IV Diagnosen,0,12,0.54,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12110-11,Niece,205,,205,Nicht,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,11,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18603-22,Non-operative Cardiovascular,756,,756,Non-operatief Cardiovasculair,18603,SEC_Apache II Hoofdgroep,SEC_Apache II Hoofdgroep,APACHE II Diagnosen,0,22,0.68,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
17014-13,"Hematoma, subdural, surgery for",154,,154,"Hematoma, subdural, surgery for",17014,APACHEIV Post-operative neurologic,APACHEIV Post-operative neurologic,APACHE IV Diagnosen,0,13,0.50,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12110-12,Father in law,37,,37,Schoonvader,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,12,0.63,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
15710-3,"Yes, after going through the checklist",5570,,5570,"Ja, na doornemen checklist",15710,Pat_Ontslag_Instructies_Controles,Pat_Ontslag_Instructies_Controles,Transfer_Medisch_Checklist,0,3,0.51,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
17008-5,"Aneurysm, abdominal aortic; with rupture",115,,115,"Aneurysm, abdominal aortic; with rupture",17008,APACHEIV Post-operative cardiovascular,APACHEIV Post-operative cardiovascular,APACHE IV Diagnosen,0,5,0.68,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12110-13,Stepmother,59,,59,Schoonmoeder,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,13,0.91,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
15711-1,Does not apply,211,,211,Niet van toepassing,15711,Pat_Ontslag_Instructies_Medicatie,Pat_Ontslag_Instructies_Medicatie,Transfer_Medisch_Checklist,0,1,1.00,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
17008-6,"Aneurysm, thoracic aortic",181,,181,"Aneurysm, thoracic aortic",17008,APACHEIV Post-operative cardiovascular,APACHEIV Post-operative cardiovascular,APACHE IV Diagnosen,0,6,0.74,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12110-15,Brother in law,171,,171,Zwager,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,15,0.61,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18603-23,Non-operative Gastrointestinal,148,,148,Non-operatief Gastro-Intestinaal,18603,SEC_Apache II Hoofdgroep,SEC_Apache II Hoofdgroep,APACHE II Diagnosen,0,23,0.61,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
15711-2,"Yes, was already OK",8445,,8445,"Ja, was reeds in orde",15711,Pat_Ontslag_Instructies_Medicatie,Pat_Ontslag_Instructies_Medicatie,Transfer_Medisch_Checklist,0,2,0.56,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
17014-14,"Hemorrhage/hematoma-intracranial, surgery for",205,,205,"Hemorrhage/hematoma-intracranial, surgery for",17014,APACHEIV Post-operative neurologic,APACHEIV Post-operative neurologic,APACHE IV Diagnosen,0,14,0.45,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
18840-6,Bedside presence and continuous observation or operations for four or more hours per shift,3765,,3765,Aanwezigheid bij het bed en continue observatie of verrichtingen voor vier of meer uur per dienst,18840,IC NAS Monitoren,IC NAS Monitoren,NAS score,0,6,0.37,APPROVED,UNMATCHED,Patrick Thoral,1709160412258,0,Unmapped,,MAPS_TO,,,0,
12110-16,Sister in law,198,,198,Schoonzuster,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,16,0.51,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12110-17,Son in law,277,,277,Schoonzoon,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,17,0.70,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18603-24,Non-operative Hematological,94,,94,Non-operatief Hematologisch,18603,SEC_Apache II Hoofdgroep,SEC_Apache II Hoofdgroep,APACHE II Diagnosen,0,24,0.70,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
15711-3,"Yes, after going through the checklist",5653,,5653,"Ja, na doornemen checklist",15711,Pat_Ontslag_Instructies_Medicatie,Pat_Ontslag_Instructies_Medicatie,Transfer_Medisch_Checklist,0,3,0.51,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
17008-7,"Aneurysm, thoracic aortic; with dissection",154,,154,"Aneurysm, thoracic aortic; with dissection",17008,APACHEIV Post-operative cardiovascular,APACHEIV Post-operative cardiovascular,APACHE IV Diagnosen,0,7,0.60,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12110-18,Daughter in law,256,,256,Schoondochter,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,18,0.80,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
15712-1,Does not apply,315,,315,Niet van toepassing,15712,Pat_Ontslag_Instructies_Oxygenatie,Pat_Ontslag_Instructies_Oxygenatie,Transfer_Medisch_Checklist,0,1,1.00,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
12110-19,Friend,297,,297,Vriend,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,19,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18603-25,Non-operative Renal,154,,154,Non-operatief Renaal,18603,SEC_Apache II Hoofdgroep,SEC_Apache II Hoofdgroep,APACHE II Diagnosen,0,25,0.69,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
15712-2,"Yes, was already OK",8370,,8370,"Ja, was reeds in orde",15712,Pat_Ontslag_Instructies_Oxygenatie,Pat_Ontslag_Instructies_Oxygenatie,Transfer_Medisch_Checklist,0,2,0.56,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
12110-20,Female friend,397,,397,Vriendin,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,20,0.71,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17014-15,Laminectomy/spinal cord decompression (excluding malignancies),66,,66,Laminectomy/spinal cord decompression (excluding malignancies),17014,APACHEIV Post-operative neurologic,APACHEIV Post-operative neurologic,APACHE IV Diagnosen,0,15,0.43,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
17008-8,"Aneurysm, thoracic aortic; with rupture",18,,18,"Aneurysm, thoracic aortic; with rupture",17008,APACHEIV Post-operative cardiovascular,APACHEIV Post-operative cardiovascular,APACHE IV Diagnosen,0,8,0.58,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12110-21,Grandson,39,,39,Kleinzoon,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,21,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18603-26,Non-operative Metabolism,116,,116,Non-operatief Metabolisme,18603,SEC_Apache II Hoofdgroep,SEC_Apache II Hoofdgroep,APACHE II Diagnosen,0,26,0.61,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12110-24,Granddaughter,52,,52,Kleindochter,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,24,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12110-25,stepson,11,,11,Stiefzoon,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,25,0.61,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18841-3,Support and care for the patient and the patient's loved one (one hour per shift),66416,,66416,Ondersteuning en zorg voor patiënt en de naaste van de patiënt (�én uur per dienst),18841,IC NAS Ondersteuning en zorg naasten,IC NAS Ondersteuning en zorg naasten,NAS score,0,3,0.44,APPROVED,UNMATCHED,Patrick Thoral,1709160412258,0,Unmapped,,MAPS_TO,,,0,
15712-3,"Yes, after going through the checklist",5616,,5616,"Ja, na doornemen checklist",15712,Pat_Ontslag_Instructies_Oxygenatie,Pat_Ontslag_Instructies_Oxygenatie,Transfer_Medisch_Checklist,0,3,0.51,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
12110-26,Stepdaughter,23,,23,Stiefdochter,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,26,0.88,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18603-27,Non-operative Neurological,434,,434,Non-operatief Neurologisch,18603,SEC_Apache II Hoofdgroep,SEC_Apache II Hoofdgroep,APACHE II Diagnosen,0,27,0.67,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12110-27,Neighbour,35,,35,Buurman,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,27,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
15713-1,Does not apply,670,,670,Niet van toepassing,15713,Pat_Ontslag_Instructies_Wondverzorging_Dieet,Pat_Ontslag_Instructies_Wondverzorging_Dieet,Transfer_Medisch_Checklist,0,1,1.00,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
12110-28,Neighbor,82,,82,Buurvrouw,12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,28,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17008-9,"Aneurysms, repair of other (except ventricular)",31,,31,"Aneurysms, repair of other (except ventricular)",17008,APACHEIV Post-operative cardiovascular,APACHEIV Post-operative cardiovascular,APACHE IV Diagnosen,0,9,0.55,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
17014-16,"Neoplasm cranial, surgery for (excluding transphenoidal)",617,,617,"Neoplasm-cranial, surgery for (excluding transphenoidal)",17014,APACHEIV Post-operative neurologic,APACHEIV Post-operative neurologic,APACHE IV Diagnosen,0,16,0.44,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
15713-2,"Yes, was already OK",8209,,8209,"Ja, was reeds in orde",15713,Pat_Ontslag_Instructies_Wondverzorging_Dieet,Pat_Ontslag_Instructies_Wondverzorging_Dieet,Transfer_Medisch_Checklist,0,2,0.56,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
12110-29,Other(See note),469,,469,Anders(Zie opmerking),12110,Contactpersoon 2 Relatie,Relatie (2),Anamnese-Contactpersonen,0,29,0.57,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18603-28,Non-operative Respiratory,564,,564,Non-operatief Respiratoir,18603,SEC_Apache II Hoofdgroep,SEC_Apache II Hoofdgroep,APACHE II Diagnosen,0,28,0.61,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12111-1,Husband,46,,46,Echtgenoot,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,1,0.85,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12111-2,Wife,96,,96,Echtgenote,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,2,0.71,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18604-12,Cardiovascular,50,,50,Cardiovasculair,18604,SEC_Apache II Non-Operatief Cardiovasculair,SEC_Apache II Non-Operatief Cardiovasculair,APACHE II Diagnosen,0,12,1.00,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12111-3,Partner,54,,54,Partner,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,3,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12111-4,Father,56,,56,Vader,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,4,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
15713-3,"Yes, after going through the checklist",5725,,5725,"Ja, na doornemen checklist",15713,Pat_Ontslag_Instructies_Wondverzorging_Dieet,Pat_Ontslag_Instructies_Wondverzorging_Dieet,Transfer_Medisch_Checklist,0,3,0.51,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
12111-5,Mother,67,,67,Moeder,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,5,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17008-10,Aortic and Mitral valve replacement,74,,74,Aortic and Mitral valve replacement,17008,APACHEIV Post-operative cardiovascular,APACHEIV Post-operative cardiovascular,APACHE IV Diagnosen,0,10,0.78,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12111-6,Son,548,,548,Zoon,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,6,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18604-13,Cardiovascular multiple trauma,15,,15,Cardiovasculair multiple trauma,18604,SEC_Apache II Non-Operatief Cardiovasculair,SEC_Apache II Non-Operatief Cardiovasculair,APACHE II Diagnosen,0,13,0.65,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
15715-1,Does not apply,263,,263,Niet van toepassing,15715,Pat_Ontslag_Score_Afspraak_Protocol,Pat_Ontslag_Score_Afspraak_Protocol,Transfer_Medisch_Checklist,0,1,1.00,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
12111-7,Daughter,590,,590,Dochter,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,7,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18841-4,Support and care for the patient and the patient's loved one (up to three hours per shift),5843,,5843,Ondersteuning en zorg voor patiënt en de naaste van de patiënt (tot drie uur per dienst),18841,IC NAS Ondersteuning en zorg naasten,IC NAS Ondersteuning en zorg naasten,NAS score,0,4,0.31,APPROVED,UNMATCHED,Patrick Thoral,1709160412258,0,Unmapped,,MAPS_TO,,,0,
12111-8,Brother,139,,139,Broer,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,8,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17014-17,Neoplasm spinal cord surgery or other related procedures,66,,66,Neoplasm-spinal cord surgery or other related procedures,17014,APACHEIV Post-operative neurologic,APACHEIV Post-operative neurologic,APACHE IV Diagnosen,0,17,0.55,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
18604-14,Coronary suffering,54,,54,Coronair lijden,18604,SEC_Apache II Non-Operatief Cardiovasculair,SEC_Apache II Non-Operatief Cardiovasculair,APACHE II Diagnosen,0,14,0.66,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
15715-2,"Yes, was already OK",9214,,9214,"Ja, was reeds in orde",15715,Pat_Ontslag_Score_Afspraak_Protocol,Pat_Ontslag_Score_Afspraak_Protocol,Transfer_Medisch_Checklist,0,2,0.56,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
12111-9,Sister,199,,199,Zus,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,9,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12111-10,Cousin,35,,35,Neef,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,10,0.68,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17008-11,Aortic valve replacement (isolated),875,,875,Aortic valve replacement (isolated),17008,APACHEIV Post-operative cardiovascular,APACHEIV Post-operative cardiovascular,APACHE IV Diagnosen,0,11,0.71,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12111-11,Niece,51,,51,Nicht,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,11,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17014-18,"Neurological surgery, other",163,,163,"Neurologic surgery, other",17014,APACHEIV Post-operative neurologic,APACHEIV Post-operative neurologic,APACHE IV Diagnosen,0,18,0.76,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
15715-3,"Yes, after going through the checklist",6057,,6057,"Ja, na doornemen checklist",15715,Pat_Ontslag_Score_Afspraak_Protocol,Pat_Ontslag_Score_Afspraak_Protocol,Transfer_Medisch_Checklist,0,3,0.51,APPROVED,UNMATCHED,Patrick Thoral,1711458019085,0,Unmapped,,MAPS_TO,,,0,
12111-12,Father in law,5,,5,Schoonvader,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,12,0.63,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18604-15,Thoracic or abdominal aneurysm,15,,15,Thoracaal of abdominaal aneurysma,18604,SEC_Apache II Non-Operatief Cardiovasculair,SEC_Apache II Non-Operatief Cardiovasculair,APACHE II Diagnosen,0,15,0.73,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
15808-1,Yes,6005,,6005,Ja,15808,Opname Sepsis,Opname Sepsis,Diagnose,0,1,1.00,APPROVED,EQUAL,Patrick Thoral,1710325686757,9191,Positive,Meas Value,MAPS_TO,,Patrick Thoral,1710325615077,
15808-1,Yes,6005,,6005,Ja,15808,Opname Sepsis,Opname Sepsis,Diagnose,0,1,1.00,APPROVED,EQUAL,Patrick Thoral,1710325686757,132797,Sepsis,Condition,MAPS_TO,,Patrick Thoral,1710325677049,
15808-2,No,48787,,48787,Nee,15808,Opname Sepsis,Opname Sepsis,Diagnose,0,2,1.00,APPROVED,EQUAL,Patrick Thoral,1710325597948,9189,Negative,Meas Value,MAPS_TO,,Patrick Thoral,1710325596444,
12111-13,Stepmother,6,,6,Schoonmoeder,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,13,0.91,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
15808-3,Unknown,3499,,3499,Onbekend,15808,Opname Sepsis,Opname Sepsis,Diagnose,0,3,1.00,APPROVED,EQUAL,Patrick Thoral,1710325648295,45877986,Unknown,Meas Value,MAPS_TO,,Patrick Thoral,1710325646820,
17008-12,Atrial Septal Defect (ASD) Repair,5,,5,Atrial Septal Defect (ASD) Repair,17008,APACHEIV Post-operative cardiovascular,APACHEIV Post-operative cardiovascular,APACHE IV Diagnosen,0,12,0.64,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
16054-1,Serous,33222,,33222,Sereus,16054,Thoraxdrain1 Aspect,Th.drain1/Aspect,VB-Thoraxdrains,0,1,1.00,APPROVED,EQUAL,Patrick Thoral,1710325733720,4105064,Serous,Meas Value,MAPS_TO,,<auto>,1687037937815,
17014-19,"Seizures-intractable, surgery for",101,,101,"Seizures-intractable, surgery for",17014,APACHEIV Post-operative neurologic,APACHEIV Post-operative neurologic,APACHE IV Diagnosen,0,19,0.59,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
16054-2,Chyleus,658,,658,Chyleus,16054,Thoraxdrain1 Aspect,Th.drain1/Aspect,VB-Thoraxdrains,0,2,0.75,APPROVED,EQUAL,Patrick Thoral,1710325736282,4081767,Chyle,Observation,MAPS_TO,,<auto>,1687037938452,
12111-14,Brother in law,33,,33,Zwager,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,14,0.61,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
18604-16,Congestive heart failure,106,,106,Congestief hart falen,18604,SEC_Apache II Non-Operatief Cardiovasculair,SEC_Apache II Non-Operatief Cardiovasculair,APACHE II Diagnosen,0,16,1.00,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
16054-3,Hemorrhagic,45171,,45171,Hemorragisch,16054,Thoraxdrain1 Aspect,Th.drain1/Aspect,VB-Thoraxdrains,0,3,1.00,APPROVED,EQUAL,Patrick Thoral,1709160783955,4116701,Hemorrhagic,Meas Value,MAPS_TO,,<auto>,1687037939015,
18842-4,Activities related to hygiene (less than two hours per shift),61708,,61708,Activiteiten m.b.t. hygiëne (minder dan twee uur per dienst),18842,IC NAS Procedures  hygiëne,IC NAS Procedures  hygiëne,NAS score,0,4,0.47,APPROVED,UNMATCHED,Patrick Thoral,1709160412258,0,Unmapped,,MAPS_TO,,,0,
18604-17,Hypertension,20,,20,Hypertensie,18604,SEC_Apache II Non-Operatief Cardiovasculair,SEC_Apache II Non-Operatief Cardiovasculair,APACHE II Diagnosen,0,17,1.00,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
16054-4,Purulent,426,,426,Purulent,16054,Thoraxdrain1 Aspect,Th.drain1/Aspect,VB-Thoraxdrains,0,4,1.00,APPROVED,EQUAL,Patrick Thoral,1710325740225,4113272,Purulent,Observation,MAPS_TO,,<auto>,1687037939860,
17014-20,Shunts and revisions,23,,23,Shunts and revisions,17014,APACHEIV Post-operative neurologic,APACHEIV Post-operative neurologic,APACHE IV Diagnosen,0,20,0.58,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12111-16,Sister in law,33,,33,Schoonzuster,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,16,0.51,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
16055-5,Serous,6429,,6429,Sereus,16055,Thoraxdrain2 Aspect,Th.drain2/Aspect,VB-Thoraxdrains,0,5,1.00,APPROVED,EQUAL,Patrick Thoral,1710325741229,4105064,Serous,Meas Value,MAPS_TO,,<auto>,1687037940336,
18604-18,arrhythmias,88,,88,Ritmestoornissen,18604,SEC_Apache II Non-Operatief Cardiovasculair,SEC_Apache II Non-Operatief Cardiovasculair,APACHE II Diagnosen,0,18,0.96,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
16055-6,Chyleus,498,,498,Chyleus,16055,Thoraxdrain2 Aspect,Th.drain2/Aspect,VB-Thoraxdrains,0,6,0.75,APPROVED,EQUAL,Patrick Thoral,1710325742096,4081767,Chyle,Observation,MAPS_TO,,<auto>,1687037940680,
17008-13,"CABG alone, coronary artery bypass grafting",3354,,3354,"CABG alone, coronary artery bypass grafting",17008,APACHEIV Post-operative cardiovascular,APACHEIV Post-operative cardiovascular,APACHE IV Diagnosen,0,13,0.85,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
12111-17,Son in law,51,,51,Schoonzoon,12111,Contactpersoon 3 Relatie,Relatie (3),Anamnese-Contactpersonen,0,17,0.70,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
