sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:count_validated,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:abbreviation,ADD_INFO:category,ADD_INFO:islabresult,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
17251,Graft histolytica antibody agglutination (blood),1,,1,,,,Ent histolytica antistoffen agglutinatie (bloed),Ent histolytica antistoffen agglutinatie (bloed),LAB-Viro-Micro-bloed,1,0.42,UNCHECKED,UNREVIEWED,,0,3004334,Entamoeba histolytica Ab [Titer] in Serum by Hemagglutination,Measurement,MAPS_TO,,<auto>,1687596099741,
17210,Conclusion PNH (blood),3,,3,,,,Conclusie PNH (bloed),Conclusie PNH (bloed),LAB-Hem-bloed,1,0.30,UNCHECKED,UNREVIEWED,,0,1175525,PNH GPI-Linked WBC and RBC Ag Panel - Blood,Measurement,MAPS_TO,,<auto>,1687596099837,
17563,Mycoplasma pneumoniae IgM (blood),23,,23,,,,Mycoplasma pneumoniae IgM (bloed),Mycoplasma pneumoniae IgM (bloed),LAB-Viro-Micro-bloed,1,0.66,UNCHECKED,UNREVIEWED,,0,3010092,Mycoplasma pneumoniae IgM Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596099967,
17923,Urate crystals (urine),35,,35,,,,Uraat kristallen (urine),Uraat kristallen (urine),LAB-Chem-urine,1,0.44,UNCHECKED,UNREVIEWED,,0,36303858,Crystals [Presence] in Urine,Measurement,MAPS_TO,,<auto>,1687596099991,
14382,resp RNA PCR (br.-alv.lav),33,,33,,,,resp RNA PCR (br.-alv.lav),resp RNA PCR (br.-alv.lav),LAB-Viro-Micro-BAL,1,0.32,UNCHECKED,UNREVIEWED,,0,21491702,Left ventricular lateral posterior Segmental wall motion by Cardiac angiogram,Measurement,MAPS_TO,,<auto>,1687596100017,
15656,Parainfluenza 1 RNA PCR (br.-alv.lav),169,,169,,,,Parainfluenza 1 RNA PCR (br.-alv.lav),Parainfluenza 1 RNA PCR (br.-alv.lav),LAB-Viro-Micro-BAL,1,0.28,APPROVED,INEXACT,Patrick Thoral,1696454567393,36305681,Parainfluenza virus 1 RNA [Presence] in Lower respiratory specimen by NAA with probe detection,Measurement,MAPS_TO,,Patrick Thoral,1696454417431,
14383,resp RNA PCR (other),48,,48,,,,resp RNA PCR (overig),resp RNA PCR (overig),LAB-Viro-Micro-diversen,1,0.31,UNCHECKED,UNREVIEWED,,0,3019610,Respiratory rate --post inhalation therapy,Measurement,MAPS_TO,,<auto>,1687596100352,
17564,Mycoplasma pneumoniae IgM (liquid),1,,1,,,,Mycoplasma pneumoniae IgM (liquor),Mycoplasma pneumoniae IgM (liquor),LAB-Viro-Micro-liquor,1,0.65,UNCHECKED,UNREVIEWED,,0,3010092,Mycoplasma pneumoniae IgM Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596100582,
17924,Varicella-Zoster virus DNA PCR (br.-alv.lav),4,,4,,,,Varicella-Zoster virus DNA PCR (br.-alv.lav),Varicella-Zoster virus DNA PCR (br.-alv.lav),LAB-Viro-Micro-BAL,1,0.25,UNCHECKED,UNREVIEWED,,0,3000384,Varicella zoster virus DNA [Presence] in Serum by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596100585,
14385,A.fum as-ag (br.-alv.lav),13,,13,,,,A.fum as-ag (br.-alv.lav),A.fum as-ag (br.-alv.lav),LAB-Viro-Micro-BAL,1,0.31,UNCHECKED,UNREVIEWED,,0,21492506,Left ventricular lateral anterior Segmental wall motion by Cardiac angiogram,Measurement,MAPS_TO,,<auto>,1687596100702,
17211,Conclusion SpecCoagulation (blood),194,,194,,,,Conclusie SpecStolling (bloed),Conclusie SpecStolling (bloed),LAB-Hem-bloed,1,0.43,UNCHECKED,UNREVIEWED,,0,3031507,Type of Blood coagulation device,Measurement,MAPS_TO,,<auto>,1687596100708,
15657,Parainfluenza 1 RNA PCR (nasal),1,,1,,,,Parainfluenza 1 RNA PCR (neus),Parainfluenza 1 RNA PCR (neus),LAB-Viro-Micro-neus,1,0.40,UNCHECKED,UNREVIEWED,,0,40763324,Parainfluenza virus 1 RNA [Presence] in Isolate by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596100741,
17252,Graft histolytica antibodies Dipstick (blood),1,,1,,,,Ent histolytica antistoffen Dipstick (bloed),Ent histolytica antistoffen Dipstick (bloed),LAB-Viro-Micro-bloed,1,0.32,UNCHECKED,UNREVIEWED,,0,3036472,Blood group antibodies identified in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1687596100812,
14392,PCR RNA (feces),4,,4,,,,PCR RNA (faeces),PCR RNA (faeces),LAB-Viro-Micro-faeces,1,0.30,UNCHECKED,UNREVIEWED,,0,3008561,Activated protein C resistance [Time Ratio] in Platelet poor plasma by Coagulation assay,Measurement,MAPS_TO,,<auto>,1687596101116,
17929,Varicella Zoster virus DNA PCR (pus),2,,2,,,,Varicella-Zoster virus DNA PCR (pus),Varicella-Zoster virus DNA PCR (pus),LAB-Viro-Micro-pus,1,0.50,UNCHECKED,UNREVIEWED,,0,21494894,Varicella zoster virus surveillance panel,Measurement,MAPS_TO,,<auto>,1687596101152,
17574,Neisseria gonorrhoeae DNA PCR (pus),2,,2,,,,Neisseria gonorrhoeae DNA PCR (pus),Neisseria gonorrhoeae DNA PCR (pus),LAB-Viro-Micro-pus,1,0.57,UNCHECKED,UNREVIEWED,,0,3013081,Neisseria gonorrhoeae Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596101184,
17212,Coxiella burnetii DNA PCR (biopsy),3,,3,,,,Coxiella burnetii DNA PCR (biopt),Coxiella burnetii DNA PCR (biopt),LAB-Viro-Micro-biopt,1,0.48,UNCHECKED,UNREVIEWED,,0,3015944,Coxiella burnetii Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596101184,
17260,Enterovirus IgA (blood),15,,15,,,,Enterovirus IgA (bloed),Enterovirus IgA (bloed),LAB-Viro-Micro-bloed,1,0.31,UNCHECKED,UNREVIEWED,,0,3044970,Cytomegalovirus IgA Ab [Presence] in Body fluid,Measurement,MAPS_TO,,<auto>,1687596101304,
15658,Parainfluenza 1 RNA PCR (other),12,,12,,,,Parainfluenza 1 RNA PCR (overig),Parainfluenza 1 RNA PCR (overig),LAB-Viro-Micro-diversen,1,0.42,UNCHECKED,UNREVIEWED,,0,40763324,Parainfluenza virus 1 RNA [Presence] in Isolate by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596101460,
14397,PCR RNA (liquid),2,,2,,,,PCR RNA (liquor),PCR RNA (liquor),LAB-Viro-Micro-liquor,1,0.30,UNCHECKED,UNREVIEWED,,0,3008561,Activated protein C resistance [Time Ratio] in Platelet poor plasma by Coagulation assay,Measurement,MAPS_TO,,<auto>,1687596101504,
17213,Coxiella burnetii DNA PCR (blood),6,,6,,,,Coxiella burnetii DNA PCR (bloed),Coxiella burnetii DNA PCR (bloed),LAB-Viro-Micro-bloed,1,0.56,UNCHECKED,UNREVIEWED,,0,36303742,Coxiella burnetii DNA [Presence] in Blood by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596101671,
17930,VDRL titre (blood),3,,3,,,,VDRL titer (bloed),VDRL titer (bloed),LAB-Viro-Micro-bloed,1,0.62,UNCHECKED,UNREVIEWED,,0,3019428,Reagin Ab [Presence] in Serum by VDRL,Measurement,MAPS_TO,,<auto>,1687596101706,
17261,Enterovirus IgG (blood),15,,15,,,,Enterovirus IgG (bloed),Enterovirus IgG (bloed),LAB-Viro-Micro-bloed,1,0.46,UNCHECKED,UNREVIEWED,,0,3044699,Arbovirus IgG Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1687596101735,
17575,Neisseria gonorrhoeae DNA PCR (vagina),4,,4,,,,Neisseria gonorrhoeae DNA PCR (vagina),Neisseria gonorrhoeae DNA PCR (vagina),LAB-Viro-Micro-vagina,1,0.55,UNCHECKED,UNREVIEWED,,0,3046574,Neisseria gonorrhoeae DNA [Presence] in Vaginal fluid by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596101805,
15659,THF/THE (sat. urine),2,,2,,,,THF/THE (verz. urine),THF/THE-vur,LAB-Divers-verz. urine,1,0.48,UNCHECKED,UNREVIEWED,,0,42529002,Tetrahydrocortisol+allo-tetrahydrocortisol/Tetrahydrocortisone [Molar ratio] in Urine,Measurement,MAPS_TO,,<auto>,1687596101836,
14398,Adenovirus DNA PCR (sputum),35,,35,,,,Adenovirus DNA PCR (sputum),Adenovirus DNA PCR (sputum),LAB-Viro-Micro-sputum,1,0.34,UNCHECKED,UNREVIEWED,,0,40769391,Adenovirus DNA [Log #/volume] (viral load) in Sputum or Bronchial by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596102066,
17262,Enterovirus IgM (blood),15,,15,,,,Enterovirus IgM (bloed),Enterovirus IgM (bloed),LAB-Viro-Micro-bloed,1,0.46,UNCHECKED,UNREVIEWED,,0,3042340,Arbovirus IgM Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1687596102108,
15686,HBV genotyping (blood),1,,1,,,,HBV genotypering (bloed),HBV genotypering (bloed),LAB-Viro-Micro-serum,1,0.50,UNCHECKED,UNREVIEWED,,0,43534013,Hepatitis B virus codon 250 [Identifier] by Genotype method,Measurement,MAPS_TO,,<auto>,1687596102218,
17218,Coxiella burnetii IgG stage 1 IFA (blood),10,,10,,,,Coxiella burnetii IgG fase 1 IFA (bloed),Coxiella burnetii IgG fase 1 IFA (bloed),LAB-Viro-Micro-bloed,1,0.59,UNCHECKED,UNREVIEWED,,0,3004086,Coxiella burnetii IgG Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596102246,
17932,VDRL interpretation (blood),31,,31,,,,VDRL interpretatie (bloed),VDRL interpretatie (bloed),LAB-Viro-Micro-bloed,1,0.40,UNCHECKED,UNREVIEWED,,0,3033826,Folate [Interpretation] in Blood,Measurement,MAPS_TO,,<auto>,1687596102388,
15694,JAK2 V617F (blood),3,,3,,,,JAK2 V617F (bloed),JAK2 V617F (bloed),LAB-Imm-bloed,1,0.65,UNCHECKED,UNREVIEWED,,0,43054967,JAK2 gene p.Val617Phe [Presence] in Bone marrow by Molecular genetics method,Measurement,MAPS_TO,,<auto>,1687596102600,
14400,Adenovirus DNA PCR (feces),4,,4,,,,Adenovirus DNA PCR (faeces),Adenovirus DNA PCR (faeces),LAB-Viro-Micro-faeces,1,0.34,UNCHECKED,UNREVIEWED,,0,36203756,Adenovirus DNA [Presence] in Urine by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596102702,
17577,Noro virus antigen test (faeces),20,,20,,,,Noro virus antigeentest (faeces),Noro virus antigeentest (faeces),LAB-Viro-Micro-faeces,1,0.27,UNCHECKED,UNREVIEWED,,0,3037818,Astrovirus Ag [Presence] in Stool,Measurement,MAPS_TO,,<auto>,1687596102835,
17263,Enterovirus RNA PCR (vesicle v.),1,,1,,,,Enterovirus RNA PCR (blaasjesv.),Enterovirus RNA PCR (blaasjesv.),LAB-Viro-Micro-blaasjes,1,0.32,UNCHECKED,UNREVIEWED,,0,3041890,Norovirus RNA [Presence] in Specimen by Probe,Measurement,MAPS_TO,,<auto>,1687596102848,
17219,Coxiella burnetii IgG phase 2 IFA (blood),10,,10,,,,Coxiella burnetii IgG fase 2 IFA (bloed),Coxiella burnetii IgG fase 2 IFA (bloed),LAB-Viro-Micro-bloed,1,0.64,UNCHECKED,UNREVIEWED,,0,3009044,Coxiella burnetii phase 2 IgG Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596102865,
15695,JAK2 V617F (bone marrow),7,,7,,,,JAK2 V617F (beenmerg),JAK2 V617F (beenmerg),LAB-Imm-beenmerg,1,0.64,UNCHECKED,UNREVIEWED,,0,43054967,JAK2 gene p.Val617Phe [Presence] in Bone marrow by Molecular genetics method,Measurement,MAPS_TO,,<auto>,1687596102991,
14401,Adenovirus DNA PCR (throat),100,,100,,,,Adenovirus DNA PCR (keel),Adenovirus DNA PCR (keel),LAB-Viro-Micro-keel,1,0.39,APPROVED,EQUAL,Patrick Thoral,1696455859030,46235749,Adenovirus DNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,MAPS_TO,,Patrick Thoral,1696455858366,
17220,Coxiella burnetii IgM stage 1 IFA (blood),9,,9,,,,Coxiella burnetii IgM fase 1 IFA (bloed),Coxiella burnetii IgM fase 1 IFA (bloed),LAB-Viro-Micro-bloed,1,0.59,UNCHECKED,UNREVIEWED,,0,3006945,Coxiella burnetii IgM Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596103443,
11400,CMV IgG (blood),252,,252,,,,CMV IgG (bloed),CMV IgG (bloed),LAB-Viro-Micro-serum,1,0.61,APPROVED,EQUAL,Patrick Thoral,1696453370701,3016816,Cytomegalovirus IgG Ab [Presence] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1696453369610,
17934,Sequence number Imm.FenoTyp (bone marrow),19,,19,,,,Volgnummer Imm.FenoTyp (beenmerg),Volgnummer Imm.FenoTyp (beenmerg),LAB-Hem-diversen,1,0.33,UNCHECKED,UNREVIEWED,,0,36033657,GISAID sequence accession number,Measurement,MAPS_TO,,<auto>,1687596103482,
15697,NPM1 mutation (blood),7,,7,,,,NPM1 mutatie (bloed),NPM1 mutatie (bloed),LAB-Imm-bloed,1,0.58,UNCHECKED,UNREVIEWED,,0,44816925,NPM1 gene mutations found [Identifier] in Bone marrow by Molecular genetics method Nominal,Measurement,MAPS_TO,,<auto>,1687596103491,
17265,Enterovirus RNA PCR (oral exudate),2,,2,,,,Enterovirus RNA PCR (monduitstr.),Enterovirus RNA PCR (monduitstr.),LAB-Viro-Micro-monduitstr.,1,0.38,UNCHECKED,UNREVIEWED,,0,3037891,Rinderpest virus Ag [Presence] in Exudate,Measurement,MAPS_TO,,<auto>,1687596103554,
11401,Legion. IF (blood),28,,28,,,,Legion. IF (bloed),Legion. IF (bloed),LAB-Viro-Micro-serum,1,0.25,UNCHECKED,UNREVIEWED,,0,3009834,Legionella sp Ab [Titer] in Serum by Immunofluorescence,Measurement,MAPS_TO,,<auto>,1687596103901,
17397,Human Herpes Virus 8 DNA PCR (Liquor),1,,1,,,,Humaan herpesvirus 8 DNA PCR (liquor),Humaan herpesvirus 8 DNA PCR (liquor),LAB-Viro-Micro-liquor,1,0.41,UNCHECKED,UNREVIEWED,,0,36204235,Herpes virus 8 DNA [Presence] in Blood by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596104021,
17221,Coxiella burnetii IgM stage 2 IFA (blood),9,,9,,,,Coxiella burnetii IgM fase 2 IFA (bloed),Coxiella burnetii IgM fase 2 IFA (bloed),LAB-Viro-Micro-bloed,1,0.58,UNCHECKED,UNREVIEWED,,0,3006945,Coxiella burnetii IgM Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596104026,
11402,CMV IgM (blood),210,,210,,,,CMV IgM (bloed),CMV IgM (bloed),LAB-Viro-Micro-serum,1,0.61,APPROVED,EQUAL,Patrick Thoral,1696453736278,3013332,Cytomegalovirus IgM Ab [Presence] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1696453735326,
15698,NPM1 mutation (bone marrow),10,,10,,,,NPM1 mutatie (beenmerg),NPM1 mutatie (beenmerg),LAB-Imm-beenmerg,1,0.59,UNCHECKED,UNREVIEWED,,0,44816925,NPM1 gene mutations found [Identifier] in Bone marrow by Molecular genetics method Nominal,Measurement,MAPS_TO,,<auto>,1687596104211,
17266,Enterovirus RNA PCR (nasophar.wat),2,,2,,,,Enterovirus RNA PCR (nasophar.wat),Enterovirus RNA PCR (nasophar.wat),LAB-Viro-Micro-nasophar.wat,1,0.30,UNCHECKED,UNREVIEWED,,0,3041890,Norovirus RNA [Presence] in Specimen by Probe,Measurement,MAPS_TO,,<auto>,1687596104246,
17403,Hyaline cylinder (urine),511,,511,,,,Hyaline cilinder (urine),Hyaline cilinder (urine),LAB-Urine-urine,1,0.38,UNCHECKED,UNREVIEWED,,0,21490860,Air cylinder Pressure,Measurement,MAPS_TO,,<auto>,1687596104359,
11404,Rubella IgG (blood),14,,14,,,,Rubella IgG (bloed),Rubella IgG (bloed),LAB-Viro-Micro-serum,1,0.39,UNCHECKED,UNREVIEWED,,0,3032863,Rubella virus IgG Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596104374,
17222,Coxsackievirus IgA (blood),15,,15,,,,Coxsackievirus IgA (bloed),Coxsackievirus IgA (bloed),LAB-Viro-Micro-bloed,1,0.57,UNCHECKED,UNREVIEWED,,0,3038450,Coxsackievirus A Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596104376,
17935,Sequence number Imm.FenoTyp (blood),20,,20,,,,Volgnummer Imm.FenoTyp (bloed),Volgnummer Imm.FenoTyp (bloed),LAB-Hem-diversen,1,0.34,UNCHECKED,UNREVIEWED,,0,36033657,GISAID sequence accession number,Measurement,MAPS_TO,,<auto>,1687596104596,
11405,Rubella IgM (blood),10,,10,,,,Rubella IgM (bloed),Rubella IgM (bloed),LAB-Viro-Micro-serum,1,0.39,UNCHECKED,UNREVIEWED,,0,3052995,Rubella virus IgM Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596104648,
15743,Cytomegalovirus DNA PCR (sputum),16,,16,,,,Cytomegalovirus DNA PCR (sputum),Cytomegalovirus DNA PCR (sputum),LAB-Viro-Micro-sputum,1,0.48,UNCHECKED,UNREVIEWED,,0,3022903,Cytomegalovirus DNA [Presence] in Tissue by Probe,Measurement,MAPS_TO,,<auto>,1687596104734,
17223,Coxsackie virus IgG (blood),15,,15,,,,Coxsackievirus IgG (bloed),Coxsackievirus IgG (bloed),LAB-Viro-Micro-bloed,1,0.56,UNCHECKED,UNREVIEWED,,0,40761874,Coxsackievirus B IgG Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596104734,
17268,Enterovirus RNA PCR (perica.fluid),1,,1,,,,Enterovirus RNA PCR (perica.vocht),Enterovirus RNA PCR (perica.vocht),LAB-Viro-Micro-perica.vocht,1,0.34,UNCHECKED,UNREVIEWED,,0,3014083,Enterovirus RNA [Presence] in Cerebral spinal fluid by Probe,Measurement,MAPS_TO,,<auto>,1687596104896,
17404,hypochromasia (blood),217,,217,,,,hypochromasie (bloed),hypochromasie (bloed),LAB-Hem-bloed,1,0.49,UNCHECKED,UNREVIEWED,,0,3034824,Hypochromia [Presence] in Blood,Measurement,MAPS_TO,,<auto>,1687596104951,
11406,Parvo virus IgG (blood),35,,35,,,,Parvo virus IgG (bloed),Parvo virus IgG (bloed),LAB-Viro-Micro-serum,1,0.42,UNCHECKED,UNREVIEWED,,0,3003267,Canine parvovirus IgG Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596104967,
17224,Coxsackievirus IgM (blood),15,,15,,,,Coxsackievirus IgM (bloed),Coxsackievirus IgM (bloed),LAB-Viro-Micro-bloed,1,0.56,UNCHECKED,UNREVIEWED,,0,3008238,Coxsackievirus A IgM Ab [Units/volume] in Serum,Measurement,MAPS_TO,,<auto>,1687596105076,
17405,hcg (urine),41,,41,,,,Hcg (urine),Hcg (urine),LAB-Divers-urine,1,0.45,UNCHECKED,UNREVIEWED,,0,3004376,Choriogonadotropin [Multiple of the median] in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1687596105167,
11407,Parvo virus IgM (blood),36,,36,,,,Parvo virus IgM (bloed),Parvo virus IgM (bloed),LAB-Viro-Micro-serum,1,0.42,UNCHECKED,UNREVIEWED,,0,3001615,Canine parvovirus IgM Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596105301,
17270,Enterovirus RNA PCR (pus),1,,1,,,,Enterovirus RNA PCR (pus),Enterovirus RNA PCR (pus),LAB-Viro-Micro-pus,1,0.39,UNCHECKED,UNREVIEWED,,0,3041890,Norovirus RNA [Presence] in Specimen by Probe,Measurement,MAPS_TO,,<auto>,1687596105383,
17225,Cryofibrinogen (blood),1,,1,,,,Cryofibrinogeen (bloed),Cryofibrinogeen (bloed),LAB-Chem-bloed,1,0.60,UNCHECKED,UNREVIEWED,,0,3027408,Cryofibrinogen [Mass/volume] in Blood,Measurement,MAPS_TO,,<auto>,1687596105529,
11408,HIV Ag+As (blood),614,,614,,,,HIV Ag+As (bloed),HIV Ag+As (bloed),LAB-Viro-Micro-serum,1,0.20,APPROVED,EQUAL,Patrick Thoral,1696452440814,40760007,HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay,Measurement,MAPS_TO,,Patrick Thoral,1696452436213,
15744,HSV type 1 DNA PCR (biopsy),5,,5,,,,HSV type 1 DNA PCR (biopt),HSV type 1 DNA PCR (biopt),LAB-Viro-Micro-biopt,1,0.28,UNCHECKED,UNREVIEWED,,0,37021409,Herpes simplex virus 1 and 2 DNA panel - Bronchoalveolar lavage by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596105819,
17936,Sequence number Imm.FenoTyp (liquor),8,,8,,,,Volgnummer Imm.FenoTyp (liquor),Volgnummer Imm.FenoTyp (liquor),LAB-Hem-diversen,1,0.33,UNCHECKED,UNREVIEWED,,0,36033657,GISAID sequence accession number,Measurement,MAPS_TO,,<auto>,1687596105940,
17271,Epithelial cylinder (urine),4,,4,,,,Epitheel cilinder (urine),Epitheel cilinder (urine),LAB-Urine-urine,1,0.36,UNCHECKED,UNREVIEWED,,0,3015919,Left contact lens Cylinder,Measurement,MAPS_TO,,<auto>,1687596105954,
17406,"Icterohaemorrhagiae, Copenhageni (blood)",6,,6,,,,"Icterohaemorrhagiae, Copenhageni (bloed)","Icterohaemorrhagiae, Copenhageni (bloed)",LAB-Viro-Micro-bloed,1,0.41,UNCHECKED,UNREVIEWED,,0,3016300,Leptospira interrogans sv Icterohaemorrhagiae Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596106038,
17226,"Cynopteri, Cynopteri, 3522 C (blood)",6,,6,,,,"Cynopteri, Cynopteri, 3522 C (bloed)","Cynopteri, Cynopteri, 3522 C (bloed)",LAB-Viro-Micro-bloed,1,0.21,UNCHECKED,UNREVIEWED,,0,3009440,Leptospira interrogans sv Cynopteri Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1687596106194,
11409,Varicella-Zoster IgM (IF) (blood),34,,34,,,,Varicella-Zoster IgM (IF) (bloed),Varicella-Zoster IgM (IF) (bloed),LAB-Viro-Micro-serum,1,0.33,UNCHECKED,UNREVIEWED,,0,3002531,Nuclear Ab [Titer] in Serum by Immunofluorescence (IF) rat liver,Measurement,MAPS_TO,,<auto>,1687596106251,
17275,Epstein-Barr virus DNA PCR (br.-alv.lav),31,,31,,,,Epstein-Barrvirus DNA PCR (br.-alv.lav),Epstein-Barrvirus DNA PCR (br.-alv.lav),LAB-Viro-Micro-BAL,1,0.35,UNCHECKED,UNREVIEWED,,0,3017470,Epstein Barr virus DNA [Presence] in Tissue by Probe,Measurement,MAPS_TO,,<auto>,1687596106482,
11410,Mumps virus IgM (blood),1,,1,,,,Bof virus IgM (bloed),Bof virus IgM (bloed),LAB-Viro-Micro-serum,1,0.57,UNCHECKED,UNREVIEWED,,0,3028027,Mumps virus IgM Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596106609,
17938,Serial number MoDiag (bone marrow),17,,17,,,,Volgnummer MoDiag (beenmerg),Volgnummer MoDiag (beenmerg),LAB-Hem-diversen,1,0.43,UNCHECKED,UNREVIEWED,,0,44816613,Vendor serial number,Measurement,MAPS_TO,,<auto>,1687596106841,
17407,"Icterohaemorrhagiae, Kantorowic (blood)",6,,6,,,,"Icterohaemorrhagiae, Kantorowic (bloed)","Icterohaemorrhagiae, Kantorowic (bloed)",LAB-Viro-Micro-bloed,1,0.39,UNCHECKED,UNREVIEWED,,0,3016300,Leptospira interrogans sv Icterohaemorrhagiae Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596106883,
11411,MAZEL. IgM (blood),3,,3,,,,MAZEL. IgM (bloed),MAZEL. IgM (bloed),LAB-Viro-Micro-serum,1,0.25,UNCHECKED,UNREVIEWED,,0,3029320,XXX blood group IgM Ab [Titer] in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1687596106963,
15745,HSV type 1 DNA PCR (vesicle v.),58,,58,,,,HSV type 1 DNA PCR (blaasjesv.),HSV type 1 DNA PCR (blaasjesv.),LAB-Viro-Micro-blaasjes,1,0.25,UNCHECKED,UNREVIEWED,,0,37021409,Herpes simplex virus 1 and 2 DNA panel - Bronchoalveolar lavage by NAA with probe detection,Measurement,MAPS_TO,,<auto>,1687596106999,
17280,Epstein-Barrvirus DNA PCR (other),1,,1,,,,Epstein-Barrvirus DNA PCR (overig),Epstein-Barrvirus DNA PCR (overig),LAB-Viro-Micro-diversen,1,0.39,UNCHECKED,UNREVIEWED,,0,3017470,Epstein Barr virus DNA [Presence] in Tissue by Probe,Measurement,MAPS_TO,,<auto>,1687596107056,
17227,Cysticercosis (Taenia) antibodies (blood),2,,2,,,,Cysticercose (Taenia) antistoffen (bloed),Cysticercose (Taenia) antistoffen (bloed),LAB-Viro-Micro-bloed,1,0.30,UNCHECKED,UNREVIEWED,,0,3036472,Blood group antibodies identified in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1687596107225,
11412,LUES (serum),1,,1,,,,LUES (serum),LUES-ser,LAB-Viro-Micro-serum,1,0.20,UNCHECKED,UNREVIEWED,,0,1616396,Wild garlic (Allium ursinum) IgE Ab [Units/volume] in Serum,Measurement,MAPS_TO,,<auto>,1687596107262,
17939,Tracking number MoDiag (blood),37,,37,,,,Volgnummer MoDiag (bloed),Volgnummer MoDiag (bloed),LAB-Hem-diversen,1,0.43,UNCHECKED,UNREVIEWED,,0,44816608,Asset tag number,Measurement,MAPS_TO,,<auto>,1687596107412,
11414,HSV IgM (blood),81,,81,,,,HSV IgM (bloed),HSV IgM (bloed),LAB-Viro-Micro-serum,1,0.65,UNCHECKED,UNREVIEWED,,0,3010761,Herpes simplex virus IgM Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1687596107430,
17286,Erythrocyte cylinder (urine),10,,10,,,,Erytrocyten cilinder (urine),Erytrocyten cilinder (urine),LAB-Hem-urine,1,0.48,UNCHECKED,UNREVIEWED,,0,3015183,Erythrocyte sedimentation rate,Measurement,MAPS_TO,,<auto>,1687596107536,
17941,question (urine),136,,136,,,,Vraagstelling  (urine),Vraagstelling  (urine),LAB-Divers-urine,1,0.25,UNCHECKED,UNREVIEWED,,0,36305109,These questions three panel,Measurement,MAPS_TO,,<auto>,1687596107903,
11415,Varicella-Zoster virus IgG (blood),59,,59,,,,Varicella-Zoster virus IgG (bloed),Varicella-Zoster virus IgG (bloed),LAB-Viro-Micro-serum,1,0.46,UNCHECKED,UNREVIEWED,,0,3003220,Varicella zoster virus IgG Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596107976,
17410,Infl. A(H1N1) RNA PCR (br.-alv.lav),5,,5,,,,Infl. A (H1N1) RNA PCR (br.-alv.lav),Infl. A (H1N1) RNA PCR (br.-alv.lav),LAB-Viro-Micro-BAL,1,0.26,UNCHECKED,UNREVIEWED,,0,21492506,Left ventricular lateral anterior Segmental wall motion by Cardiac angiogram,Measurement,MAPS_TO,,<auto>,1687596107987,
