source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
19639,0,AUMC List,M_EMV_NICE_Opname,3008223,LOINC,1974-10-30,2099-12-31,
19640,0,AUMC List,V_EMV_NICE_Opname,3009094,LOINC,1974-10-31,2099-12-31,
9631,0,AUMC List,Beademingstoestel(2),0,None,1974-11-01,2099-12-31,
9652,0,AUMC List,Type Beademing Evita 4(2),3004921,LOINC,1974-11-02,2099-12-31,
13120,0,AUMC List,D_Algemene chirurgie_Vaatchirurgie,0,None,1974-11-03,2099-12-31,
13121,0,AUMC List,D_Algemene chirurgie_Buikchirurgie,0,None,1974-11-04,2099-12-31,
16263,0,AUMC List,Nazorg bezigheden wassen aankleden,0,None,1974-11-05,2099-12-31,
13122,0,AUMC List,D_Algemene chirurgie_Transplantatie chirurgie,0,None,1974-11-06,2099-12-31,
16271,0,AUMC List,Nazorg sociale bezigheden,0,None,1974-11-07,2099-12-31,
12128,0,AUMC List,Patiënt Specialisme,44789289,SNOMED,1974-11-08,2099-12-31,
10467,0,AUMC List,PatiëntBurgerlijke staat,3046344,LOINC,1974-11-09,2099-12-31,
13123,0,AUMC List,D_Algemene chirurgie_Endocrinologische chirurgie,0,None,1974-11-10,2099-12-31,
19644,0,AUMC List,Course trial Smoking status,43054909,LOINC,1974-11-11,2099-12-31,
16273,0,AUMC List,Nazorg pijn afgelopen 4 weken,0,None,1974-11-12,2099-12-31,
12129,0,AUMC List,PatiëntInfoRelatie,3046359,LOINC,1974-11-13,2099-12-31,
10468,0,AUMC List,PatiëntNationaliteit,4087925,SNOMED,1974-11-14,2099-12-31,
13124,0,AUMC List,D_Algemene chirurgie_Trauma,0,None,1974-11-15,2099-12-31,
10469,0,AUMC List,PatiëntGeslacht,4083588,SNOMED,1974-11-16,2099-12-31,
16274,0,AUMC List,Nazorg pijn werkzaamheden afgelopen 4 weken,0,None,1974-11-17,2099-12-31,
12130,0,AUMC List,PatiëntWijzeVanOpname,4287771,SNOMED,1974-11-18,2099-12-31,
10470,0,AUMC List,Reden voor ontslag,763892,SNOMED,1974-11-19,2099-12-31,
19249,0,AUMC List,MRC Sum Score Links Abductie arm,4093203,SNOMED,1974-11-20,2099-12-31,
16275,0,AUMC List,Nazorg voelen levenslustig,0,None,1974-11-21,2099-12-31,
12132,0,AUMC List,PatiëntSpreektaal,4152283,SNOMED,1974-11-22,2099-12-31,
12290,0,AUMC List,Ventilatie Mode (Set),3004921,LOINC,1974-11-23,2099-12-31,
12347,0,AUMC List,Ventilatie Mode (Set) (2),3004921,LOINC,1974-11-24,2099-12-31,
12376,0,AUMC List,Mode (Bipap Vision),3004921,LOINC,1974-11-25,2099-12-31,
10472,0,AUMC List,Ontslagbestemming,44810687,SNOMED,1974-11-26,2099-12-31,
16276,0,AUMC List,Nazorg voelen zenuwachtig,0,None,1974-11-27,2099-12-31,
12497,0,AUMC List,Thoraxdrain4 Luchtlekkage,4307599,SNOMED,1974-11-28,2099-12-31,
19250,0,AUMC List,MRC Sum Score Links Dorsaalflexie voet,4093203,SNOMED,1974-11-29,2099-12-31,
12498,0,AUMC List,Thoraxdrain5 Luchtlekkage,4307599,SNOMED,1974-11-30,2099-12-31,
16277,0,AUMC List,Nazorg voelen in de put,0,None,1974-12-01,2099-12-31,
12499,0,AUMC List,Thoraxdrain6 Luchtlekkage,4307599,SNOMED,1974-12-02,2099-12-31,
12815,0,AUMC List,Elleboog Li,4224856,SNOMED,1974-12-03,2099-12-31,
12816,0,AUMC List,Elleboog Re,4224856,SNOMED,1974-12-04,2099-12-31,
16278,0,AUMC List,Nazorg voelen kalm rustig,0,None,1974-12-05,2099-12-31,
19251,0,AUMC List,MRC Sum Score Links Extensie pols,4093203,SNOMED,1974-12-06,2099-12-31,
12817,0,AUMC List,Enkel Li,4224856,SNOMED,1974-12-07,2099-12-31,
12818,0,AUMC List,Enkel Re,4224856,SNOMED,1974-12-08,2099-12-31,
12819,0,AUMC List,Heup Li,4224856,SNOMED,1974-12-09,2099-12-31,
12820,0,AUMC List,Heup Re,4224856,SNOMED,1974-12-10,2099-12-31,
16279,0,AUMC List,Nazorg voelen energiek,0,None,1974-12-11,2099-12-31,
12821,0,AUMC List,Hiel Li,4224856,SNOMED,1974-12-12,2099-12-31,
19252,0,AUMC List,MRC Sum Score Links Flexie Elleboog,4093203,SNOMED,1974-12-13,2099-12-31,
12822,0,AUMC List,Hiel Re,4224856,SNOMED,1974-12-14,2099-12-31,
12823,0,AUMC List,Knie Li,4224856,SNOMED,1974-12-15,2099-12-31,
12824,0,AUMC List,Knie Re,4224856,SNOMED,1974-12-16,2099-12-31,
12825,0,AUMC List,Neus,4224856,SNOMED,1974-12-17,2099-12-31,
16280,0,AUMC List,Nazorg voelen neerslachtig somber,0,None,1974-12-18,2099-12-31,
19253,0,AUMC List,MRC Sum Score Links Heup flexie,4093203,SNOMED,1974-12-19,2099-12-31,
12826,0,AUMC List,Oor Li,4224856,SNOMED,1974-12-20,2099-12-31,
12827,0,AUMC List,Oor Re,4224856,SNOMED,1974-12-21,2099-12-31,
12828,0,AUMC List,Schouder Li,4224856,SNOMED,1974-12-22,2099-12-31,
16281,0,AUMC List,Nazorg voelen uitgeblust,0,None,1974-12-23,2099-12-31,
12829,0,AUMC List,Schouder Re,4224856,SNOMED,1974-12-24,2099-12-31,
12830,0,AUMC List,Stuit,4224856,SNOMED,1974-12-25,2099-12-31,
12831,0,AUMC List,Tenen Li,4224856,SNOMED,1974-12-26,2099-12-31,
16282,0,AUMC List,Nazorg voelen gelukkig,0,None,1974-12-27,2099-12-31,
19254,0,AUMC List,MRC Sum Score Links Knie extensie,4093203,SNOMED,1974-12-28,2099-12-31,
12832,0,AUMC List,Tenen Re,4224856,SNOMED,1974-12-29,2099-12-31,
10587,0,AUMC List,Thoraxdrain1 Transport,36714172,SNOMED,1974-12-30,2099-12-31,
12833,0,AUMC List,Vingers Li,4224856,SNOMED,1974-12-31,2099-12-31,
16283,0,AUMC List,Nazorg voelen moe,0,None,1975-01-01,2099-12-31,
12834,0,AUMC List,Vingers Re,4224856,SNOMED,1975-01-02,2099-12-31,
13064,0,AUMC List,Temp Huid Plaats,0,None,1975-01-03,2099-12-31,
10588,0,AUMC List,Thoraxdrain2 Transport,36714172,SNOMED,1975-01-04,2099-12-31,
19255,0,AUMC List,MRC Sum Score Rechts Abductie arm,4093203,SNOMED,1975-01-05,2099-12-31,
20115,0,AUMC List,Exposure Dislocatie drain,0,None,1975-01-06,2099-12-31,
12615,0,AUMC List,Sonde type,3016384,LOINC,1975-01-07,2099-12-31,
10589,0,AUMC List,Thoraxdrain3 Transport,36714172,SNOMED,1975-01-08,2099-12-31,
12621,0,AUMC List,Sonde functie,4025210,SNOMED,1975-01-09,2099-12-31,
16284,0,AUMC List,Nazorg belemmering sociale activiteiten,0,None,1975-01-10,2099-12-31,
10604,0,AUMC List,Liquor aspect,4065661,SNOMED,1975-01-11,2099-12-31,
19256,0,AUMC List,MRC Sum Score Rechts Dorsaalflexie voet,4093203,SNOMED,1975-01-12,2099-12-31,
10653,0,AUMC List,VerzekeringTypeX,0,None,1975-01-13,2099-12-31,
20119,0,AUMC List,Exposure Obstructie/afknellen drain,0,None,1975-01-14,2099-12-31,
12622,0,AUMC List,Sonde zuigdruk (H2O),4302472,SNOMED,1975-01-15,2099-12-31,
10659,0,AUMC List,Dilutie,4083165,SNOMED,1975-01-16,2099-12-31,
20121,0,AUMC List,Other Apparatuur,0,None,1975-01-17,2099-12-31,
10673,0,AUMC List,Beleid,1761496,LOINC,1975-01-18,2099-12-31,
12623,0,AUMC List,Tube diepte,3046004,LOINC,1975-01-19,2099-12-31,
10697,0,AUMC List,Gewicht bron,42539462,SNOMED,1975-01-20,2099-12-31,
12624,0,AUMC List,Tube maat,21491186,LOINC,1975-01-21,2099-12-31,
16285,0,AUMC List,Nazorg uitspraken gemakkelijk ziek,0,None,1975-01-22,2099-12-31,
19257,0,AUMC List,MRC Sum Score Rechts Extensie pols,4093203,SNOMED,1975-01-23,2099-12-31,
10702,0,AUMC List,Lengte bron,42527659,LOINC,1975-01-24,2099-12-31,
12625,0,AUMC List,Tube route,4296228,SNOMED,1975-01-25,2099-12-31,
20122,0,AUMC List,Other Communicatie,0,None,1975-01-26,2099-12-31,
12099,0,AUMC List,Allergie 1 Bron,42539462,SNOMED,1975-01-27,2099-12-31,
12627,0,AUMC List,Tracheacanule maat,36305611,LOINC,1975-01-28,2099-12-31,
20123,0,AUMC List,Other item anders pre-per-post,0,None,1975-01-29,2099-12-31,
16286,0,AUMC List,Nazorg uitspraken net zo gezond,0,None,1975-01-30,2099-12-31,
19258,0,AUMC List,MRC Sum Score Rechts Flexie Elleboog,4093203,SNOMED,1975-01-31,2099-12-31,
8669,0,AUMC List,Thoraxdrain2 Plaats,3004779,LOINC,1975-02-01,2099-12-31,
12629,0,AUMC List,Tracheacanule type,0,None,1975-02-02,2099-12-31,
20124,0,AUMC List,Other Logistiek & Planning,0,None,1975-02-03,2099-12-31,
8670,0,AUMC List,Thoraxdrain3 Plaats,3004779,LOINC,1975-02-04,2099-12-31,
19259,0,AUMC List,MRC Sum Score Rechts Heup flexie,4093203,SNOMED,1975-02-05,2099-12-31,
8691,0,AUMC List,Thoraxdrain1 Zuigkracht,4122997,SNOMED,1975-02-06,2099-12-31,
20137,0,AUMC List,Transport Airway (A),0,None,1975-02-07,2099-12-31,
16287,0,AUMC List,Nazorg uitspraken achteruitgaan gezondheid,0,None,1975-02-08,2099-12-31,
8692,0,AUMC List,Thoraxdrain2 Zuigkracht,4122997,SNOMED,1975-02-09,2099-12-31,
19260,0,AUMC List,MRC Sum Score Rechts Knie extensie,4093203,SNOMED,1975-02-10,2099-12-31,
20139,0,AUMC List,Transport bestemming,0,None,1975-02-11,2099-12-31,
8693,0,AUMC List,Thoraxdrain3 Zuigkracht,4122997,SNOMED,1975-02-12,2099-12-31,
16288,0,AUMC List,Nazorg uitspraken gezondheid uitstekend,0,None,1975-02-13,2099-12-31,
20140,0,AUMC List,Transport Breathing (B),0,None,1975-02-14,2099-12-31,
8695,0,AUMC List,Thoraxdrain1 Luchtlekkage,4307599,SNOMED,1975-02-15,2099-12-31,
19796,0,AUMC List,Aandacht - fysiek -Status01,0,None,1975-02-16,2099-12-31,
8696,0,AUMC List,Thoraxdrain2 Luchtlekkage,4307599,SNOMED,1975-02-17,2099-12-31,
20141,0,AUMC List,Transport Circulation (C),0,None,1975-02-18,2099-12-31,
8698,0,AUMC List,Thoraxdrain3 Luchtlekkage,4307599,SNOMED,1975-02-19,2099-12-31,
19797,0,AUMC List,Aandacht - fysiek -Status02,0,None,1975-02-20,2099-12-31,
8730,0,AUMC List,Wonddrain1 Plaats,4085985,SNOMED,1975-02-21,2099-12-31,
16295,0,AUMC List,Nazorg reacties aantal pijnlijke beelden,0,None,1975-02-22,2099-12-31,
20144,0,AUMC List,Transport Disability (D),0,None,1975-02-23,2099-12-31,
8731,0,AUMC List,Wonddrain2 Plaats,4085985,SNOMED,1975-02-24,2099-12-31,
12751,0,AUMC List,Tube referentiepunt,4186054,SNOMED,1975-02-25,2099-12-31,
8732,0,AUMC List,Wonddrain3 Plaats,4085985,SNOMED,1975-02-26,2099-12-31,
20145,0,AUMC List,Transport Doel,0,None,1975-02-27,2099-12-31,
16296,0,AUMC List,Nazorg reacties nachtmerries,0,None,1975-02-28,2099-12-31,
12807,0,AUMC List,Achterhoofd,4224856,SNOMED,1975-03-01,2099-12-31,
19798,0,AUMC List,Aandacht - fysiek -Status03,0,None,1975-03-02,2099-12-31,
8733,0,AUMC List,Wonddrain4 Plaats,4085985,SNOMED,1975-03-03,2099-12-31,
8825,0,AUMC List,Ectopie,4239407,SNOMED,1975-03-04,2099-12-31,
8829,0,AUMC List,Pupil Links Reactie,21491763,LOINC,1975-03-05,2099-12-31,
8830,0,AUMC List,Pupil Rechts Reactie,21490963,LOINC,1975-03-06,2099-12-31,
8832,0,AUMC List,Pupil Links Grootte,3026611,LOINC,1975-03-07,2099-12-31,
8833,0,AUMC List,Pupil Rechts Grootte,3010321,LOINC,1975-03-08,2099-12-31,
19376,0,AUMC List,ViaOK,4084838,SNOMED,1975-03-09,2099-12-31,
12809,0,AUMC List,Andere plek categorie,4224856,SNOMED,1975-03-10,2099-12-31,
20146,0,AUMC List,Transport Exposure (E) drains,0,None,1975-03-11,2099-12-31,
19596,0,AUMC List,Mobiliseren bed/stoel,4178501,SNOMED,1975-03-12,2099-12-31,
12810,0,AUMC List,Bedsoort,21491507,LOINC,1975-03-13,2099-12-31,
19799,0,AUMC List,Aandacht - fysiek -Status04,0,None,1975-03-14,2099-12-31,
20147,0,AUMC List,Transport Modus,0,None,1975-03-15,2099-12-31,
16297,0,AUMC List,Nazorg reacties opname opnieuw plaatsvinden,0,None,1975-03-16,2099-12-31,
8889,0,AUMC List,Aantal Bronchiaaltoilet,4239191,SNOMED,1975-03-17,2099-12-31,
19606,0,AUMC List,BPS - Acceptatie beademing,0,None,1975-03-18,2099-12-31,
6658,0,AUMC List,IABP Frequentie,608009,SNOMED,1975-03-19,2099-12-31,
6671,0,AUMC List,Hartritme,4091457,SNOMED,1975-03-20,2099-12-31,
6685,0,AUMC List,Type Beademing Evita 4,3004921,LOINC,1975-03-21,2099-12-31,
6732,0,AUMC List,Actief openen van de ogen,3016335,LOINC,1975-03-22,2099-12-31,
6734,0,AUMC List,Beste motore reactie van de armen,3008223,LOINC,1975-03-23,2099-12-31,
6735,0,AUMC List,Beste verbale reactie,3009094,LOINC,1975-03-24,2099-12-31,
7432,0,AUMC List,Afnameplaats,3053213,LOINC,1975-03-25,2099-12-31,
20148,0,AUMC List,Transport RASS score,0,None,1975-03-26,2099-12-31,
19607,0,AUMC List,BPS - Bewegen lichaam,0,None,1975-03-27,2099-12-31,
19800,0,AUMC List,Aandacht - fysiek -Status05,0,None,1975-03-28,2099-12-31,
16298,0,AUMC List,Nazorg reacties van slag,0,None,1975-03-29,2099-12-31,
7672,0,AUMC List,Substitutie vloeistof,1988427,LOINC,1975-03-30,2099-12-31,
20149,0,AUMC List,Transport Transporteerders,0,None,1975-03-31,2099-12-31,
16057,0,AUMC List,Thoraxdrain4 Aspect,4218046,SNOMED,1975-04-01,2099-12-31,
7969,0,AUMC List,RedenStakenCVVH,0,None,1975-04-02,2099-12-31,
8189,0,AUMC List,Toedieningsweg,45769206,SNOMED,1975-04-03,2099-12-31,
20348,0,AUMC List,CAM-ICU auditieve test,0,None,1975-04-04,2099-12-31,
8200,0,AUMC List,Pacemaker mode,1989388,LOINC,1975-04-05,2099-12-31,
16058,0,AUMC List,Thoraxdrain5 Aspect,4218046,SNOMED,1975-04-06,2099-12-31,
19801,0,AUMC List,Aandacht - fysiek -Status06,0,None,1975-04-07,2099-12-31,
16059,0,AUMC List,Thoraxdrain6 Aspect,4218046,SNOMED,1975-04-08,2099-12-31,
16299,0,AUMC List,Nazorg reacties lichamelijke verschijnselen,0,None,1975-04-09,2099-12-31,
8616,0,AUMC List,Filtertype,0,None,1975-04-10,2099-12-31,
20349,0,AUMC List,CAM-ICU ongeorganiseerd denken opdrachten,0,None,1975-04-11,2099-12-31,
19802,0,AUMC List,Aandacht - fysiek -Status07,0,None,1975-04-12,2099-12-31,
8647,0,AUMC List,IABP Trigger,608009,SNOMED,1975-04-13,2099-12-31,
16084,0,AUMC List,Cardioversie Indicatie,4353741,SNOMED,1975-04-14,2099-12-31,
8650,0,AUMC List,IABP Curve,0,None,1975-04-15,2099-12-31,
16300,0,AUMC List,Nazorg reacties vermijden gedachten,0,None,1975-04-16,2099-12-31,
18814,0,AUMC List,IC NAS Administratieve en management taken,0,None,1975-04-17,2099-12-31,
16101,0,AUMC List,Reanimatie Ondernomen acties,0,None,1975-04-18,2099-12-31,
8651,0,AUMC List,Pulsaties Li-been,0,None,1975-04-19,2099-12-31,
16102,0,AUMC List,Reanimatie Oorzaak,321042,SNOMED,1975-04-20,2099-12-31,
20350,0,AUMC List,CAM-ICU ongeorganiseerd denken vragen,0,None,1975-04-21,2099-12-31,
19803,0,AUMC List,Aandacht - fysiek -Status09,0,None,1975-04-22,2099-12-31,
8652,0,AUMC List,Pulsaties Re-been,0,None,1975-04-23,2099-12-31,
16103,0,AUMC List,Reanimatie Reden,4232320,SNOMED,1975-04-24,2099-12-31,
20351,0,AUMC List,CAM-ICU score,0,None,1975-04-25,2099-12-31,
16301,0,AUMC List,Nazorg reacties vermijden activiteiten,0,None,1975-04-26,2099-12-31,
18839,0,AUMC List,IC NAS Mobiliseren en positioneren,0,None,1975-04-27,2099-12-31,
8654,0,AUMC List,IABP Pulsatie,0,None,1975-04-28,2099-12-31,
8663,0,AUMC List,Temperatuur Plaats 1,3024265,LOINC,1975-04-29,2099-12-31,
18840,0,AUMC List,IC NAS Monitoren,0,None,1975-04-30,2099-12-31,
8668,0,AUMC List,Thoraxdrain1 Plaats,3004779,LOINC,1975-05-01,2099-12-31,
15158,0,AUMC List,DOS 7,0,None,1975-05-02,2099-12-31,
19804,0,AUMC List,Aandacht - fysiek -Status10,0,None,1975-05-03,2099-12-31,
15159,0,AUMC List,DOS 8,0,None,1975-05-04,2099-12-31,
16302,0,AUMC List,Nazorg reacties delen herinneren,0,None,1975-05-05,2099-12-31,
15160,0,AUMC List,DOS 9,0,None,1975-05-06,2099-12-31,
15161,0,AUMC List,DOS 10,0,None,1975-05-07,2099-12-31,
15162,0,AUMC List,DOS 11,0,None,1975-05-08,2099-12-31,
16179,0,AUMC List,Bronchoscopie Indicatie,604177,SNOMED,1975-05-09,2099-12-31,
15163,0,AUMC List,DOS 12,0,None,1975-05-10,2099-12-31,
15164,0,AUMC List,DOS 13,0,None,1975-05-11,2099-12-31,
15172,0,AUMC List,VAS score,4165600,SNOMED,1975-05-12,2099-12-31,
19805,0,AUMC List,Aandacht - fysiek -Status08,0,None,1975-05-13,2099-12-31,
18841,0,AUMC List,IC NAS Ondersteuning en zorg naasten,0,None,1975-05-14,2099-12-31,
15295,0,AUMC List,Gecuffed/Ontcuffed,40771868,LOINC,1975-05-15,2099-12-31,
16303,0,AUMC List,Nazorg reacties moeilijk genieten,0,None,1975-05-16,2099-12-31,
18842,0,AUMC List,IC NAS Procedures  hygiëne,0,None,1975-05-17,2099-12-31,
19816,0,AUMC List,Aandacht - psyche -Status01,0,None,1975-05-18,2099-12-31,
16304,0,AUMC List,Nazorg reacties minder betrokken,0,None,1975-05-19,2099-12-31,
16200,0,AUMC List,Nazorg Conditie,46235663,LOINC,1975-05-20,2099-12-31,
19232,0,AUMC List,Fysio-Assesment resultaat,0,None,1975-05-21,2099-12-31,
19817,0,AUMC List,Aandacht - psyche -Status02,0,None,1975-05-22,2099-12-31,
16228,0,AUMC List,Nazorg  tijdstip,0,None,1975-05-23,2099-12-31,
15709,0,AUMC List,Pat_Ontslag_Infuusbeleid,0,None,1975-05-24,2099-12-31,
16305,0,AUMC List,Nazorg reacties verdrietig,0,None,1975-05-25,2099-12-31,
19818,0,AUMC List,Aandacht - psyche -Status03,0,None,1975-05-26,2099-12-31,
16229,0,AUMC List,Nazorg  tijd na ontslag,0,None,1975-05-27,2099-12-31,
15710,0,AUMC List,Pat_Ontslag_Instructies_Controles,0,None,1975-05-28,2099-12-31,
16306,0,AUMC List,Nazorg reacties pessimistisch,0,None,1975-05-29,2099-12-31,
19819,0,AUMC List,Aandacht - psyche -Status04,0,None,1975-05-30,2099-12-31,
15711,0,AUMC List,Pat_Ontslag_Instructies_Medicatie,0,None,1975-05-31,2099-12-31,
16235,0,AUMC List,Nazorg  mening enquete,0,None,1975-06-01,2099-12-31,
16307,0,AUMC List,Nazorg reacties inslapen,0,None,1975-06-02,2099-12-31,
16237,0,AUMC List,Nazorg  cijfer,0,None,1975-06-03,2099-12-31,
15712,0,AUMC List,Pat_Ontslag_Instructies_Oxygenatie,0,None,1975-06-04,2099-12-31,
16252,0,AUMC List,Nazorg gezondheid,46235663,LOINC,1975-06-05,2099-12-31,
16308,0,AUMC List,Nazorg reacties geïrriteerd,0,None,1975-06-06,2099-12-31,
16253,0,AUMC List,Nazorg gezondheid jaar geleden,0,None,1975-06-07,2099-12-31,
15713,0,AUMC List,Pat_Ontslag_Instructies_Wondverzorging_Dieet,0,None,1975-06-08,2099-12-31,
16254,0,AUMC List,Nazorg bezigheden Forse Inpanning,0,None,1975-06-09,2099-12-31,
15715,0,AUMC List,Pat_Ontslag_Score_Afspraak_Protocol,0,None,1975-06-10,2099-12-31,
16309,0,AUMC List,Nazorg reacties concentratie,0,None,1975-06-11,2099-12-31,
15808,0,AUMC List,Opname Sepsis,44808681,SNOMED,1975-06-12,2099-12-31,
16054,0,AUMC List,Thoraxdrain1 Aspect,4218046,SNOMED,1975-06-13,2099-12-31,
16255,0,AUMC List,Nazorg bezigheden Matige inspanning,0,None,1975-06-14,2099-12-31,
16310,0,AUMC List,Nazorg reacties op uw hoede,0,None,1975-06-15,2099-12-31,
16055,0,AUMC List,Thoraxdrain2 Aspect,4218046,SNOMED,1975-06-16,2099-12-31,
16056,0,AUMC List,Thoraxdrain3 Aspect,4218046,SNOMED,1975-06-17,2099-12-31,
16256,0,AUMC List,Nazorg bezigheden Tillen Boodschappen,0,None,1975-06-18,2099-12-31,
16311,0,AUMC List,Nazorg reacties schrikachtig,0,None,1975-06-19,2099-12-31,
16606,0,AUMC Qualifier,Rotem Ondernomen actie,4206625,SNOMED,1975-06-20,2099-12-31,
16675,0,AUMC Qualifier,DMC_Opname Sepsis,44808681,SNOMED,1975-06-21,2099-12-31,
14769,0,AUMC Qualifier,Arm Li,4283159,SNOMED,1975-06-22,2099-12-31,
14770,0,AUMC Qualifier,Arm Re,4274743,SNOMED,1975-06-23,2099-12-31,
14771,0,AUMC Qualifier,Been Li,4169248,SNOMED,1975-06-24,2099-12-31,
14772,0,AUMC Qualifier,Been Re,4138674,SNOMED,1975-06-25,2099-12-31,
15142,0,AUMC Qualifier,CPAP PEEP (cmH2O),44777590,UCUM,1975-06-26,2099-12-31,
13397,0,AUMC Qualifier,Fixatie reden,40758173,LOINC,1975-06-27,2099-12-31,
12101,0,AUMC Qualifier,Allergie 2 Bron,3003680,LOINC,1975-06-28,2099-12-31,
12102,0,AUMC Qualifier,Allergie 3 Bron,3003680,LOINC,1975-06-29,2099-12-31,
12108,0,AUMC Qualifier,Bezittingen Relatie tot patiënt,36309574,LOINC,1975-06-30,2099-12-31,
16602,0,AUMC Qualifier,Rotem Indicatie,4206625,SNOMED,1975-07-01,2099-12-31,
8894,0,AUMC Qualifier,Hoeveelheid Sputum,4042996,SNOMED,1975-07-02,2099-12-31,
8895,0,AUMC Qualifier,Kleur Sputum,37397754,SNOMED,1975-07-03,2099-12-31,
9358,0,AUMC Qualifier,EVD-Open/Dicht,4234117,SNOMED,1975-07-04,2099-12-31,
9359,0,AUMC Qualifier,ELD-Open/Dicht,45760696,SNOMED,1975-07-05,2099-12-31,
19249,0,AUMC Qualifier,MRC Sum Score Links Abductie arm,4283159,SNOMED,1975-07-06,2099-12-31,
19250,0,AUMC Qualifier,MRC Sum Score Links Dorsaalflexie voet,4320144,SNOMED,1975-07-07,2099-12-31,
12815,0,AUMC Qualifier,Elleboog Li,4274728,SNOMED,1975-07-08,2099-12-31,
12816,0,AUMC Qualifier,Elleboog Re,4274729,SNOMED,1975-07-09,2099-12-31,
19251,0,AUMC Qualifier,MRC Sum Score Links Extensie pols,4245733,SNOMED,1975-07-10,2099-12-31,
12817,0,AUMC Qualifier,Enkel Li,4197824,SNOMED,1975-07-11,2099-12-31,
12818,0,AUMC Qualifier,Enkel Re,4283074,SNOMED,1975-07-12,2099-12-31,
12819,0,AUMC Qualifier,Heup Li,4119913,SNOMED,1975-07-13,2099-12-31,
12820,0,AUMC Qualifier,Heup Re,4119892,SNOMED,1975-07-14,2099-12-31,
12821,0,AUMC Qualifier,Hiel Li,37109764,SNOMED,1975-07-15,2099-12-31,
19252,0,AUMC Qualifier,MRC Sum Score Links Flexie Elleboog,4274728,SNOMED,1975-07-16,2099-12-31,
12822,0,AUMC Qualifier,Hiel Re,37109765,SNOMED,1975-07-17,2099-12-31,
12823,0,AUMC Qualifier,Knie Li,4220204,SNOMED,1975-07-18,2099-12-31,
12824,0,AUMC Qualifier,Knie Re,4285878,SNOMED,1975-07-19,2099-12-31,
12825,0,AUMC Qualifier,Neus,4164276,SNOMED,1975-07-20,2099-12-31,
19253,0,AUMC Qualifier,MRC Sum Score Links Heup flexie,4119913,SNOMED,1975-07-21,2099-12-31,
12826,0,AUMC Qualifier,Oor Li,4233086,SNOMED,1975-07-22,2099-12-31,
12827,0,AUMC Qualifier,Oor Re,4103458,SNOMED,1975-07-23,2099-12-31,
12828,0,AUMC Qualifier,Schouder Li,4241290,SNOMED,1975-07-24,2099-12-31,
12829,0,AUMC Qualifier,Schouder Re,4240768,SNOMED,1975-07-25,2099-12-31,
12830,0,AUMC Qualifier,Stuit,4262680,SNOMED,1975-07-26,2099-12-31,
12831,0,AUMC Qualifier,Tenen Li,37219109,SNOMED,1975-07-27,2099-12-31,
19254,0,AUMC Qualifier,MRC Sum Score Links Knie extensie,4220204,SNOMED,1975-07-28,2099-12-31,
12832,0,AUMC Qualifier,Tenen Re,37219110,SNOMED,1975-07-29,2099-12-31,
12833,0,AUMC Qualifier,Vingers Li,37219140,SNOMED,1975-07-30,2099-12-31,
12834,0,AUMC Qualifier,Vingers Re,37219141,SNOMED,1975-07-31,2099-12-31,
19255,0,AUMC Qualifier,MRC Sum Score Rechts Abductie arm,4274743,SNOMED,1975-08-01,2099-12-31,
19256,0,AUMC Qualifier,MRC Sum Score Rechts Dorsaalflexie voet,4298982,SNOMED,1975-08-02,2099-12-31,
10697,0,AUMC Qualifier,Gewicht bron,3025315,LOINC,1975-08-03,2099-12-31,
19257,0,AUMC Qualifier,MRC Sum Score Rechts Extensie pols,4319901,SNOMED,1975-08-04,2099-12-31,
12625,0,AUMC Qualifier,Tube route,4097216,SNOMED,1975-08-05,2099-12-31,
12099,0,AUMC Qualifier,Allergie 1 Bron,3003680,LOINC,1975-08-06,2099-12-31,
19258,0,AUMC Qualifier,MRC Sum Score Rechts Flexie Elleboog,4274729,SNOMED,1975-08-07,2099-12-31,
19259,0,AUMC Qualifier,MRC Sum Score Rechts Heup flexie,4119892,SNOMED,1975-08-08,2099-12-31,
19260,0,AUMC Qualifier,MRC Sum Score Rechts Knie extensie,4285878,SNOMED,1975-08-09,2099-12-31,
12751,0,AUMC Qualifier,Tube referentiepunt,4097216,SNOMED,1975-08-10,2099-12-31,
12807,0,AUMC Qualifier,Achterhoofd,4183601,SNOMED,1975-08-11,2099-12-31,
6658,0,AUMC Qualifier,IABP Frequentie,4044874,SNOMED,1975-08-12,2099-12-31,
16057,0,AUMC Qualifier,Thoraxdrain4 Aspect,4121351,SNOMED,1975-08-13,2099-12-31,
16058,0,AUMC Qualifier,Thoraxdrain5 Aspect,4121351,SNOMED,1975-08-14,2099-12-31,
16059,0,AUMC Qualifier,Thoraxdrain6 Aspect,4121351,SNOMED,1975-08-15,2099-12-31,
8647,0,AUMC Qualifier,IABP Trigger,4044874,SNOMED,1975-08-16,2099-12-31,
15708,0,AUMC Qualifier,Pat_Ontslag_Bijzonderheden_Overdracht_Zaalarts,4199531,SNOMED,1975-08-17,2099-12-31,
16054,0,AUMC Qualifier,Thoraxdrain1 Aspect,4121351,SNOMED,1975-08-18,2099-12-31,
16055,0,AUMC Qualifier,Thoraxdrain2 Aspect,4121351,SNOMED,1975-08-19,2099-12-31,
16056,0,AUMC Qualifier,Thoraxdrain3 Aspect,4121351,SNOMED,1975-08-20,2099-12-31,
