sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:abbreviation,ADD_INFO:ordercategory,ADD_INFO:category,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
14811-56,1/4 croquette / pizza slice,6,,,,,1/4 kroket/ pizzapunt,1/4 kroket/ pizzapunt,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.26,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
14969-56,3/4 crispbread/rusks/toast,33,,,,,3/4 knäckebröd/beschuit/toast,3/4 knäckebröd/beschuit/toast,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.21,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
19137-21,Linezolid (Zyvox),3,,,,,Linezolid (Zyvoxid),Linezolid (Zyvoxid),Niet iv Antimicrobiele middelen,Medicatie,0.57,APPROVED,EQUAL,Patrick Thoral,1710262282370,40058965,linezolid Oral Tablet [Zyvox],Drug,MAPS_TO,,<auto>,1686702722024,
12950-30,Candesartan (Atacand),130,,,,,Candesartan (Atacand),Candesartan (Atacand),Niet iv Circulatie/Diurese,Medicatie,0.60,APPROVED,EQUAL,Patrick Thoral,1710150968661,40095734,candesartan Oral Tablet [Atacand],Drug,MAPS_TO,,Patrick Thoral,1710150967235,
14812-56,1/2 croquette / pizza slice,12,,,,,1/2 kroket/ pizzapunt,1/2 kroket/ pizzapunt,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.27,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
19137-15,Linezolid (Zyvox),54,,,,,Linezolid (Zyvoxid),Linezolid (Zyvoxid),Injecties Antimicrobiele middelen,Medicatie,0.57,APPROVED,EQUAL,Patrick Thoral,1710262349270,36896811,300 ML linezolid 2 MG/ML Injectable Solution [ZYVOXID],Drug,MAPS_TO,,Patrick Thoral,1710262348276,
14872-56,3/4 portion of meat,260,,,,,3/4 portie vlees,3/4 portie vlees,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.17,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
14970-56,1 cup margarine (10g)/butter,5767,,,,,1 cupje margarine (10g)/roomboter,1 cupje margarine (10g)/roomboter,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.22,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
19138-30,Nebivolol,14,,,,,Nebivolol,Nebivolol,Niet iv Circulatie/Diurese,Medicatie,1.00,UNCHECKED,UNREVIEWED,,0,1314577,nebivolol,Drug,MAPS_TO,,<auto>,1686702723861,
12952-24,Regitin (phentolamine),1,,,,,Regitine (fentolamine),Regitine (fentolamine),Injecties Circulatie/Diuretica,Medicatie,0.67,APPROVED,EQUAL,Patrick Thoral,1711146808049,41122534,Phentolamine 10 MG/ML Injectable Solution [Regitin],Drug,MAPS_TO,,Patrick Thoral,1711146806366,
14813-56,3/4 croquette / pizza slice,4,,,,,3/4 kroket/ pizzapunt,3/4 kroket/ pizzapunt,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.25,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
19139-118,Lysis-TBI - Study,13,,,,,Lysis-TBI - Studie,Lysis-TBI - Studie,Research,Research-Processen,0.39,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
14814-56,1 pancake,40,,,,,1 pannekoek,1 pannekoek,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.35,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
12953-21,Ethambutol (Myambutol),153,,,,,Ethambutol (Myambutol),Ethambutol (Myambutol),Niet iv Antimicrobiele middelen,Medicatie,0.64,UNCHECKED,UNREVIEWED,,0,40039048,ethambutol Oral Tablet [Myambutol],Drug,MAPS_TO,,<auto>,1686702725230,
19140-118,Lysis-OHCA - Study,4,,,,,Lysis-OHCA - Studie,Lysis-OHCA - Studie,Research,Research-Processen,0.39,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
14873-56,1 serving of fish,173,,,,,1 portie vis,1 portie vis,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.52,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
14815-56,1/4 pancake,2,,,,,1/4 pannekoek,1/4 pannekoek,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.30,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
14971-56,1/4 cup margarine (10g)/butter,198,,,,,1/4 cupje margarine (10g)/roomboter,1/4 cupje margarine (10g)/roomboter,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.19,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
14816-56,1/2 pancake,3,,,,,1/2 pannekoek,1/2 pannekoek,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.34,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
12956-21,Moxifloxacin (Avelox),59,,,,,Moxifloxacin (Avelox),Moxifloxacin (Avelox),Niet iv Antimicrobiele middelen,Medicatie,0.59,UNCHECKED,UNREVIEWED,,0,1716903,moxifloxacin,Drug,MAPS_TO,,<auto>,1686702726264,
9090-29,ZZ-Do not use methadone oral solution,19,,,,,ZZ-Niet gebruiken Methadon drank,ZZ-Niet gebruiken Methadon drank,Niet iv CZS/Sedatie/Analgetica,Deleted - Niet gebruiken,0.42,UNCHECKED,UNREVIEWED,,0,40064067,methadone Oral Solution,Drug,MAPS_TO,,<auto>,1686702726290,
19151-71,Glimepiride (Amaryl),36,,,,,Glimepiride (Amaryl),Glimepiride (Amaryl),Niet iv Hormonen/Vitaminen/Mineralen,Medicatie,0.64,UNCHECKED,UNREVIEWED,,0,40059666,glimepiride Oral Tablet [Amaryl],Drug,MAPS_TO,,<auto>,1686702726378,
14817-56,3/4 pancake,2,,,,,3/4 pannekoek,3/4 pannekoek,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.24,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
14874-56,1/4 serving of fish,66,,,,,1/4 portie vis,1/4 portie vis,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.37,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
14972-56,1/2 cup margarine (10g)/butter,842,,,,,1/2 cupje margarine (10g)/roomboter,1/2 cupje margarine (10g)/roomboter,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.20,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
12978-31,Emesafene (Medozin/pyridoxine),2,,,,,Emesafene (Medozine/pyridoxine),Emesafene (Medozine/pyridoxine),Niet iv Tractus Digestivus,Medicatie,0.39,UNCHECKED,UNREVIEWED,,0,19005046,pyridoxine,Drug,MAPS_TO,,<auto>,1686702727473,
19152-29,Nortriptyline (Nortrilen),126,,,,,Nortriptyline (Nortrilen),Nortriptyline (Nortrilen),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.69,UNCHECKED,UNREVIEWED,,0,721724,nortriptyline,Drug,MAPS_TO,,<auto>,1686702727628,
14818-56,1 spring roll/chicken/ham,17,,,,,1 loempia/ kip/ham,1 loempia/ kip/ham,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.27,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
14875-56,1/2 serving of fish,79,,,,,1/2 portie vis,1/2 portie vis,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.40,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
9091-27,Methylene Blue IV (Methylthionide Chloride)X,21,,,,,Methyleenblauw IV (Methylthionide cloride)X,Methyleenblauw IVX,Injecties Overig,Deleted - Niet gebruiken,0.42,APPROVED,EQUAL,Patrick Thoral,1690485639545,44109975,Methylene blue 10 MG/ML Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1690485638612,
14973-56,3/4 cup margarine (10g)/butter,167,,,,,3/4 cupje margarine (10g)/roomboter,3/4 cupje margarine (10g)/roomboter,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.19,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
19153-29,Lacosamide (Vimpat),58,,,,,Lacosamide (Vimpat),Lacosamide (Vimpat),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.59,UNCHECKED,UNREVIEWED,,0,40154978,lacosamide Oral Tablet [Vimpat],Drug,MAPS_TO,,<auto>,1686702728922,
14819-56,1/4 egg roll/chicken/ham,7,,,,,1/4 loempia/ kip/ham,1/4 loempia/ kip/ham,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.28,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
12990-21,Amfo B Nasal Spray,3,,,,,Amfo B Neusspray,Amfo B Neusspray,Niet iv Antimicrobiele middelen,Medicatie,0.47,UNCHECKED,UNREVIEWED,,0,44029756,Menthol Nasal Spray,Drug,MAPS_TO,,<auto>,1686702729180,
9093-31,Microlax,302,,,,,Microlax,Microlax,Niet iv Tractus Digestivus,Medicatie,0.51,APPROVED,EQUAL,Patrick Thoral,1690487939909,44033779,sodium citrate 90 MG/ML / SODIUM LAURYL SULFOACETATE 9 MG/ML / Sorbitol 625 MG/ML Rectal Solution [Microlax],Drug,MAPS_TO,,Patrick Thoral,1690487930372,
19154-30,ezetimibe,244,,ATC,C10AX09,ezetimibe,Ezetimibe (Ezetrol),Ezetimibe (Ezetrol),Niet iv Circulatie/Diurese,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696682927904,21144048,ezetimibe 10 MG Oral Tablet [Ezetrol],Drug,MAPS_TO,,Patrick Thoral,1696682926718,
14974-56,1 sweet filling,2880,,,,,1 zoet beleg,1 zoet beleg,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.62,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
14876-56,3/4 portion of fish,32,,,,,3/4 portie vis,3/4 portie vis,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.37,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
14820-56,1/2 egg roll/chicken/ham,3,,,,,1/2 loempia/ kip/ham,1/2 loempia/ kip/ham,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.29,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
12992-29,Clozapine (Leponex),883,,,,,Clozapine (Leponex),Clozapine (Leponex),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.60,APPROVED,EQUAL,Patrick Thoral,1711144830837,43206070,Clozapine Oral Tablet [LEPONEX],Drug,MAPS_TO,,<auto>,1686702730427,
9095-67,Mixtard (Insulin) 30-70,93,,,,,Mixtard (Insuline) 30-70,Mixtard (Insuline) 30-70,Injecties Hormonen/Vitaminen/Mineralen,Medicatie,0.33,UNCHECKED,UNREVIEWED,,0,40922266,"insulin, isophane 70 UNT/ML / Regular Insulin, Human 30 UNT/ML [Mixtard]",Drug,MAPS_TO,,<auto>,1686702730815,
14975-56,1/4 sweet filling,56,,,,,1/4 zoet beleg,1/4 zoet beleg,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.46,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
14822-56,1 hot dog sandwich,8,,,,,1 broodje hot-dog,1 broodje hot-dog,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.29,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
12993-71,Gliclazide (Diamicron),19,,,,,Gliclazide (Diamicron),Gliclazide (Diamicron),Niet iv Hormonen/Vitaminen/Mineralen,Medicatie,0.73,UNCHECKED,UNREVIEWED,,0,21104410,Gliclazide Oral Tablet [Diamicron],Drug,MAPS_TO,,<auto>,1686702731819,
14877-56,1 serving of gravy,362,,,,,1 portie jus,1 portie jus,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.25,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
19160-70,Tiotropium (Spiriva) Inhalation Powder,47,,,,,Tiotropium (Spiriva) inhalatiepoeder,Tiotropium (Spiriva) inhalatiepoeder,Niet iv Tractus Respiratorius,Medicatie,0.67,APPROVED,EQUAL,Patrick Thoral,1696635820385,19121580,tiotropium 0.018 MG Inhalation Powder [Spiriva],Drug,MAPS_TO,,Patrick Thoral,1696635819026,
14976-56,1/2 sweet filling,181,,,,,1/2 zoet beleg,1/2 zoet beleg,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.50,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
12994-29,Colchicine,423,,,,,Colchicine,Colchicine,Niet iv CZS/Sedatie/Analgetica,Medicatie,1.00,UNCHECKED,UNREVIEWED,,0,1101554,colchicine,Drug,MAPS_TO,,<auto>,1686702732643,
14824-56,1/2 hot dog bun,1,,,,,1/2 broodje hot-dog,1/2 broodje hot-dog,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.38,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
9098-31,Domperidone (Motilium),256,,,,,Domperidon (Motilium),Domperidon,Niet iv Tractus Digestivus,Medicatie,0.63,UNCHECKED,UNREVIEWED,,0,40031909,domperidone Oral Tablet [Motilium],Drug,MAPS_TO,,<auto>,1686702732864,
14977-56,3/4 sweet filling,72,,,,,3/4 zoet beleg,3/4 zoet beleg,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.45,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
9099-29,MS Contin,2,,,,,MS Contin,MS Contin,Niet iv CZS/Sedatie/Analgetica,Medicatie,0.56,UNCHECKED,UNREVIEWED,,0,40169909,morphine sulfate 100 MG Extended Release Oral Tablet [MS Contin],Drug,MAPS_TO,,<auto>,1686702733994,
12995-32,Oxybutynin (Dridase),1266,,,,,Oxybutynine (Dridase),Oxybutynine (Dridase),Niet iv Overig,Medicatie,0.72,APPROVED,EQUAL,Patrick Thoral,1710152785093,43622835,oxybutynin 5 MG Oral Tablet [Oxybutin],Drug,MAPS_TO,,Patrick Thoral,1710152783434,
14878-56,1/4 serving of gravy,253,,,,,1/4 portie jus,1/4 portie jus,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.31,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
14978-56,1 peanut butter,203,,,,,1 pindakaas,1 pindakaas,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.54,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
14826-56,1 bag of poffertjes,4,,,,,1 zakje poffertjes,1 zakje poffertjes,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.21,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
14979-56,1/4 peanut butter,9,,,,,1/4 pindakaas,1/4 pindakaas,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.39,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
19161-70,Tiotropium (Spiriva) Inhalation Liquid 'Respimat',10,,,,,Tiotropium (Spiriva) Inhalatievloeistof 'Respimat',Tiotropium (Spiriva) Inhalatievloeistof 'Respimat',Niet iv Tractus Respiratorius,Medicatie,0.41,APPROVED,EQUAL,Patrick Thoral,1696636163189,21045905,tiotropium 0.0025 MG/ACTUAT Inhalant Solution [Spiriva Respimat],Drug,MAPS_TO,,Patrick Thoral,1696636158924,
14879-56,1/2 serving of gravy,293,,,,,1/2 portie jus,1/2 portie jus,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.38,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
12997-69,Ofloxacin (Trafloxal) eye drops,1133,,,,,Ofloxacine (Trafloxal) oogdruppels,Ofloxacine (Trafloxal) oogdruppels,Niet iv Zalven/Crèmes/Druppels,Medicatie,0.47,APPROVED,EQUAL,Patrick Thoral,1710266057000,36272898,Ofloxacin 3 MG/ML Ophthalmic Solution [Trafloxal],Drug,MAPS_TO,,Patrick Thoral,1710266019218,
12997-69,Ofloxacin (Trafloxal) eye drops,1133,,,,,Ofloxacine (Trafloxal) oogdruppels,Ofloxacine (Trafloxal) oogdruppels,Niet iv Zalven/Crèmes/Druppels,Medicatie,0.47,APPROVED,EQUAL,Patrick Thoral,1710266057000,40549429,Ocula,Route,MAPS_TO_TYPE,,Patrick Thoral,1710266049731,
14828-56,1/2 bag of poffertjes,2,,,,,1/2 zakje poffertjes,1/2 zakje poffertjes,Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.25,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
14980-56,1/2 peanut butter,17,,,,,1/2 pindakaas,1/2 pindakaas,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.42,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
19162-29,Etoricoxib (Arcoxia),22,,,,,Etoricoxib (Arcoxia),Etoricoxib (Arcoxia),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.60,UNCHECKED,UNREVIEWED,,0,21163778,etoricoxib Oral Tablet [Arcoxia],Drug,MAPS_TO,,<auto>,1686702737092,
14981-56,3/4 peanut butter,9,,,,,3/4 pindakaas,3/4 pindakaas,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.39,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
9100-70,acetylcysteine inhalation solution,5233,,ATC,R05CB01,acetylcysteine,Mucomyst 10,Mucomyst 10,Niet iv Tractus Respiratorius,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696618725171,1139046,acetylcysteine 100 MG/ML Inhalation Solution [Mucomyst-10],Drug,MAPS_TO,,Patrick Thoral,1696618723652,
14880-56,3/4 serving of gravy,88,,,,,3/4 portie jus,3/4 portie jus,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.18,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
12998-29,Clomipramine (Anafranil),302,,,,,Clomipramine (Anafranil),Clomipramine (Anafranil),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.68,UNCHECKED,UNREVIEWED,,0,44057424,Clomipramine Oral Tablet [Anafranil],Drug,MAPS_TO,,<auto>,1686702738181,
14830-56,1 serving of sausage (50g),13,,,,,1 portie worst (50g),1 portie worst (50g),Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.24,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
14982-56,1 slice of cheese,5474,,,,,1 plak kaas,1 plak kaas,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.26,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
12999-71,Cabergoline (Dostinex),14,,,,,Cabergoline (Dostinex),Cabergoline (Dostinex),Niet iv Hormonen/Vitaminen/Mineralen,Medicatie,0.64,UNCHECKED,UNREVIEWED,,0,40094113,cabergoline Oral Tablet [Dostinex],Drug,MAPS_TO,,<auto>,1686702739477,
14881-56,1 serving of vegetables,1015,,,,,1 portie groente,1 portie groente,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.53,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
13000-65,Theophylline,138,,,,,Theofylline,Theofylline,2. Spuitpompen,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1711143509099,41425912,100 ML Theophylline 8 MG/ML Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1711143507497,
14831-56,1/4 portion of sausage (50g),5,,,,,1/4 portie worst (50g),1/4 portie worst (50g),Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.22,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
14983-56,1/4 slice of cheese,116,,,,,1/4 plak kaas,1/4 plak kaas,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.27,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
19163-29,Morphine oral solution (Oramorph),82,,,,,Morfine drank (Oramorph),Morfine drank (Oramorph),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.61,UNCHECKED,UNREVIEWED,,0,40061561,morphine Oral Solution,Drug,MAPS_TO,,<auto>,1686702740968,
9101-70,acetylcysteine inhalation solution 20%,553,,ATC,R05CB01,acetylcysteine,Mucomyst 20,Mucomyst 20,Niet iv Tractus Respiratorius,Medicatie,0.85,APPROVED,EQUAL,Patrick Thoral,1696635479251,1139047,acetylcysteine 200 MG/ML Inhalation Solution [Mucomyst-20],Drug,MAPS_TO,,Patrick Thoral,1696635477960,
13001-71,Propylthiouracil (PTU),327,,,,,Propylthiouracil (PTU),Propylthiouracil (PTU),Niet iv Hormonen/Vitaminen/Mineralen,Medicatie,0.66,UNCHECKED,UNREVIEWED,,0,1554072,propylthiouracil,Drug,MAPS_TO,,<auto>,1686702741358,
14984-56,1/2 slice of cheese,300,,,,,1/2 plak kaas,1/2 plak kaas,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.32,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
19164-67,calcium gluconate,229,,ATC,A12AA03,calcium gluconate,Calciumgluconaat,Calciumgluconaat,Injecties Hormonen/Vitaminen/Mineralen,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696674281008,19037061,calcium gluconate 100 MG/ML Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1696674279749,
9103-29,Naproxen (Naprosyne),168,,,,,Naproxen (Naprosyne),Naproxen,Niet iv CZS/Sedatie/Analgetica,Medicatie,0.57,UNCHECKED,UNREVIEWED,,0,40064735,naproxen Oral Tablet [Naprosyn],Drug,MAPS_TO,,<auto>,1686702742143,
13002-32,Thalidomide,12,,,,,Thalidomide,Thalidomide,Niet iv Overig,Medicatie,1.00,UNCHECKED,UNREVIEWED,,0,19137042,thalidomide,Drug,MAPS_TO,,<auto>,1686702742180,
14882-56,1/4 serving of vegetables,724,,,,,1/4 portie groente,1/4 portie groente,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.40,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
14832-56,1/2 portion of sausage (50g),5,,,,,1/2 portie worst (50g),1/2 portie worst (50g),Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.24,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
19169-42,1 water ice,242,,,,,1 Waterijs,1 Waterijs,Voeding Drinken,Voeding-Intake-Vocht,0.50,APPROVED,UNMATCHED,Patrick Thoral,1696613713244,4023517,Drinks,Observation,MAPS_TO,,Patrick Thoral,1696613543094,
13003-29,Flurazepam (Dalmadorm),14,,,,,Flurazepam (Dalmadorm),Flurazepam (Dalmadorm),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.70,APPROVED,EQUAL,Patrick Thoral,1710261428268,43783294,Flurazepam Oral Tablet [Dalmadorm],Drug,MAPS_TO,,Patrick Thoral,1710261427513,
14985-56,3/4 slice of cheese,84,,,,,3/4 plak kaas,3/4 plak kaas,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.19,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
19170-42,1/2 Water ice,14,,,,,1/2  Waterijs,1/2  Waterijs,Voeding Drinken,Voeding-Intake-Vocht,0.37,APPROVED,UNMATCHED,Patrick Thoral,1696613713244,4023517,Drinks,Observation,MAPS_TO,,Patrick Thoral,1696613543094,
13004-32,Rosiglitazone,127,,,,,Rosiglitazon,Rosiglitazon,Niet iv Overig,Medicatie,1.00,UNCHECKED,UNREVIEWED,,0,1547504,rosiglitazone,Drug,MAPS_TO,,<auto>,1686702744197,
9104-71,Sodium bicarbonate capsule,347,,,,,Natriumbicarbonaat capsule,Natriumbicarbonaat capsule,Niet iv Hormonen/Vitaminen/Mineralen,Medicatie,0.96,APPROVED,EQUAL,Patrick Thoral,1693505277790,19003160,sodium bicarbonate 500 MG Oral Capsule,Drug,MAPS_TO,,Patrick Thoral,1693505276139,
19171-42,1/4 Water ice,2,,,,,1/4  Waterijs,1/4  Waterijs,Voeding Drinken,Voeding-Intake-Vocht,0.34,APPROVED,UNMATCHED,Patrick Thoral,1696613713244,4023517,Drinks,Observation,MAPS_TO,,Patrick Thoral,1696613543094,
14833-56,3/4 portion of sausage (50g),2,,,,,3/4 portie worst (50g),3/4 portie worst (50g),Voeding Vast voedsel,Voeding-Intake-Hartige-Snaq,0.22,APPROVED,UNMATCHED,Patrick Thoral,1696613682260,4026328,Savory snacks,Observation,MAPS_TO,,Patrick Thoral,1696613658597,
