source_concept_id,source_concept,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,category,ordercategory,islabresult,count,count_validated,values,source_concept_en
15158,DOS 7,,,,,DOS 7,Delier-Overig,,0,11407,11407,Nooit; Soms - Altijd; Weet niet,DOS 7
15159,DOS 8,,,,,DOS 8,Delier-Overig,,0,11389,11389,Nooit; Soms - Altijd; Weet niet,DOS 8
15160,DOS 9,,,,,DOS 9,Delier-Overig,,0,11449,11449,Nooit; Soms - Altijd; Weet niet,DOS 9
15161,DOS 10,,,,,DOS 10,Delier-Overig,,0,11512,11512,Nooit; Soms - Altijd; Weet niet,DOS 10
15162,DOS 11,,,,,DOS 11,Delier-Overig,,0,11879,11879,Nooit; Soms - Altijd; Weet niet,DOS 11
15163,DOS 12,,,,,DOS 12,Delier-Overig,,0,12170,12170,Nooit; Soms - Altijd; Weet niet,DOS 12
15164,DOS 13,,,,,DOS 13,Delier-Overig,,0,14016,14016,Nooit; Soms - Altijd; Weet niet,DOS 13
15172,VAS score,,,,,VAS score,SCORE,,0,145333,145333,0 - geen pijn; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - ondraaglijke pijn; N.v.t.,VAS score
15295,Gecuffed/Ontcuffed,,,,,Gecuffed/Ontcuffed,RESP-O2aanbod,,0,21950,21950,Gecuffed; Ontcuffed,Cuffed/Uncuffed
15708,Pat_Ontslag_Bijzonderheden_Overdracht_Zaalarts,,,,,Pat_Ontslag_Bijzonderheden_Overdracht_Zaalarts,Transfer_Medisch_Checklist,,0,25957,25957,"Niet van toepassing; Ja, was reeds in orde; Ja, na doornemen checklist",Pat_Dismissal_Specialities_Transfer_Fall doctor
15709,Pat_Ontslag_Infuusbeleid,,,,,Pat_Ontslag_Infuusbeleid,Transfer_Medisch_Checklist,,0,14290,14290,"Niet van toepassing; Ja, was reeds in orde; Ja, na doornemen checklist",Pat_Dismissal_Infusion Policy
15710,Pat_Ontslag_Instructies_Controles,,,,,Pat_Ontslag_Instructies_Controles,Transfer_Medisch_Checklist,,0,14140,14140,"Niet van toepassing; Ja, was reeds in orde; Ja, na doornemen checklist",Pat_Discharge_Instructions_Checks
15711,Pat_Ontslag_Instructies_Medicatie,,,,,Pat_Ontslag_Instructies_Medicatie,Transfer_Medisch_Checklist,,0,14309,14309,"Niet van toepassing; Ja, was reeds in orde; Ja, na doornemen checklist",Pat_Discharge_Instructions_Medication
15712,Pat_Ontslag_Instructies_Oxygenatie,,,,,Pat_Ontslag_Instructies_Oxygenatie,Transfer_Medisch_Checklist,,0,14301,14301,"Niet van toepassing; Ja, was reeds in orde; Ja, na doornemen checklist",Pat_Discharge_Instructions_Oxygenation
15713,Pat_Ontslag_Instructies_Wondverzorging_Dieet,,,,,Pat_Ontslag_Instructies_Wondverzorging_Dieet,Transfer_Medisch_Checklist,,0,14604,14604,"Niet van toepassing; Ja, was reeds in orde; Ja, na doornemen checklist",Pat_Discharge_Instructions_Wound Care_Diet
15715,Pat_Ontslag_Score_Afspraak_Protocol,,,,,Pat_Ontslag_Score_Afspraak_Protocol,Transfer_Medisch_Checklist,,0,15534,15534,"Niet van toepassing; Ja, was reeds in orde; Ja, na doornemen checklist",Pat_Dismissal_Score_Appointment_Protocol
15808,Opname Sepsis,,,,,Opname Sepsis,Diagnose,,0,58291,58291,Ja; Nee; Onbekend,Admission Sepsis
16054,Thoraxdrain1 Aspect,,,,,Th.drain1/Aspect,VB-Thoraxdrains,,0,79477,79477,Sereus; Chyleus; Hemorragisch; Purulent,Chest drain1 Aspect
16055,Thoraxdrain2 Aspect,,,,,Th.drain2/Aspect,VB-Thoraxdrains,,0,10001,10001,Sereus; Chyleus; Hemorragisch; Purulent,Chest drain2 Aspect
16056,Thoraxdrain3 Aspect,,,,,Th.drain3/Aspect,VB-Thoraxdrains,,0,1630,1630,Sereus; Chyleus; Hemorragisch; Purulent,Chest drain3 Aspect
16057,Thoraxdrain4 Aspect,,,,,Th.drain4/Aspect,VB-Thoraxdrains,,0,318,318,Sereus; Chyleus; Hemorragisch; Purulent,Chest drain4 Aspect
16058,Thoraxdrain5 Aspect,,,,,Th.drain5/Aspect,VB-Thoraxdrains,,0,41,41,Sereus; Hemorragisch; Purulent,Chest drain5 Aspect
16059,Thoraxdrain6 Aspect,,,,,Th.drain6/Aspect,VB-Thoraxdrains,,0,13,13,Sereus; Hemorragisch,Chest drain6 Aspect
16084,Cardioversie Indicatie,,,,,Cardioversie Indicatie,Klinische verrichting Circulatie,,0,377,377,SVT - A. fibrillatie; SVT - A. flutter; SVT - A. tachycardie; VT + Output; Anders,Cardioversion Indication
16101,Reanimatie Ondernomen acties,,,,,Reanimatie Ondernomen acties,Klinische verrichting Circulatie,,0,300,300,Shock scenario; No shock scenario; Pré-codiale stomp; Hand/Kapbeademing; Pericardpunctie; Ontlasten pneumothorax; Anders,Resuscitation Actions taken
16102,Reanimatie Oorzaak,,,,,Reanimatie Oorzaak,Klinische verrichting Circulatie,,0,185,185,"Onbekend; Hypoxie; Hypovolumie; Hyper of Hypo K+,H+,Ca++; Hypothermie; Tension Pneumothorax; Tamponade cardiaal; Trombo-embolie of mechanische obstructie; Anders",CPR Cause
16103,Reanimatie Reden,,,,,Reanimatie Reden,Klinische verrichting Circulatie,,0,210,210,VF; Tensieloze VT; Bradycardie; PEA; Asystolie,CPR Reason
16177,Bronchoscopie Complicatielijst,,,,,Bronchoscopie Complicatielijst,Klinische verrichting Respiratie,,0,45,45,Bloeding; Ernstige hypoxie (<85%); Hypotensie (< 5 min); Hypotensie (> 5 min); Verlies luchtweg; Anders,Bronchoscopy Complication List
16179,Bronchoscopie Indicatie,,,,,Bronchoscopie Indicatie,Klinische verrichting Respiratie,,0,425,425,Atelectase; Bronchiaal toilet; Tracheotomie; Airway probleem; Intubatie; BAL; Anders,Bronchoscopy Indication
16181,Bronchoscopie Introductie via,,,,,Bronchoscopie Introductie via,Klinische verrichting Respiratie,,0,249,249,Neus; Mond; Tracheacanule; Tracheostoma; Tube,Bronchoscopy Introduction via
16182,Bronchoscopie nummer,,,,,Bronchoscopie nummer,Klinische verrichting Respiratie,,0,79,79,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 21; 064 - Fujinon EB530; 065 - Fujinon EB530; 066 - Fujinon EB530; 070 - Fujinon EB530,Bronchoscopy number
16200,Nazorg Conditie,,,,,Nazorg Conditie,Nazorg-poli_Status,,0,66,66,Slecht; Matig; Goed,Aftercare Condition
16228,Nazorg  tijdstip,,,,,Nazorg  tijdstip,Nazorg-poli_Enquete_Nabezoek,,0,122,122,te laat op de dag; te vroeg op de dag; prima,Aftercare time
16229,Nazorg  tijd na ontslag,,,,,Nazorg  tijd na ontslag,Nazorg-poli_Enquete_Nabezoek,,0,59,59,te snel; te laat; goed,Aftercare time after discharge
16235,Nazorg  mening enquete,,,,,Nazorg  mening enquete,Nazorg-poli_Enquete_Nabezoek,,0,76,76,te moeilijk; te lang; goed te doen; zinvol; anders,Aftercare opinion survey
16237,Nazorg  cijfer,,,,,Nazorg  cijfer,Nazorg-poli_Enquete_Nabezoek,,0,64,64,7; 8; 9; 10,Aftercare rating
16252,Nazorg gezondheid,,,,,Nazorg gezondheid,Nazorg-poli_Enquete_Brief,,0,125,125,uitstekend; zeer goed; goed; matig; slecht,Aftercare health
16253,Nazorg gezondheid jaar geleden,,,,,Nazorg gezondheid jaar geleden,Nazorg-poli_Enquete_Brief,,0,63,63,Veel beter dan een jaar geleden; Iets beter dan een jaar geleden; Ongeveer hetzelfde als een jaar geleden; Iets slechter dan een jaar geleden; Veel slechter dan een jaar geleden ,Follow-up health years ago
16254,Nazorg bezigheden Forse Inpanning,,,,,Nazorg bezigheden Forse Inpanning,Nazorg-poli_Enquete_Brief,,0,62,62,"ja, ernstig beperkt; ja, een beetje beperkt; nee, helemaal niet beperkt",Aftercare activities Heavy Effort
16255,Nazorg bezigheden Matige inspanning,,,,,Nazorg bezigheden Matige inspanning,Nazorg-poli_Enquete_Brief,,0,62,62,"ja, ernstig beperkt; ja, een beetje beperkt; nee, helemaal niet beperkt",Aftercare activities Moderate exertion
16256,Nazorg bezigheden Tillen Boodschappen,,,,,Nazorg bezigheden Tillen Boodschappen,Nazorg-poli_Enquete_Brief,,0,62,62,"ja, ernstig beperkt; ja, een beetje beperkt; nee, helemaal niet beperkt",Aftercare activities Lifting Groceries
16257,Nazorg bezigheden Paar trappen,,,,,Nazorg bezigheden Paar trappen,Nazorg-poli_Enquete_Brief,,0,61,61,"ja, ernstig beperkt; ja, een beetje beperkt; nee, helemaal niet beperkt",Aftercare activities A few stairs
16258,Nazorg bezighedenTrap,,,,,Nazorg bezighedenTrap,Nazorg-poli_Enquete_Brief,,0,61,61,"ja, ernstig beperkt; ja, een beetje beperkt; nee, helemaal niet beperkt",Aftercare activitiesStairs
16259,Nazorg bezigheden Buigen knielen,,,,,Nazorg bezigheden Buigen knielen,Nazorg-poli_Enquete_Brief,,0,62,62,"ja, ernstig beperkt; ja, een beetje beperkt; nee, helemaal niet beperkt",Aftercare activities: Bending and kneeling
16260,Nazorg bezigheden km lopen,,,,,Nazorg bezigheden km lopen,Nazorg-poli_Enquete_Brief,,0,62,62,"ja, ernstig beperkt; ja, een beetje beperkt; nee, helemaal niet beperkt",Aftercare activities km walk
16261,Nazorg bezigheden halve km lopen lopen,,,,,Nazorg bezigheden halve km lopen lopen,Nazorg-poli_Enquete_Brief,,0,61,61,"ja, ernstig beperkt; ja, een beetje beperkt; nee, helemaal niet beperkt",Aftercare activities walking half a km
16262,Nazorg bezigheden 100m lopen,,,,,Nazorg bezigheden 100m lopen,Nazorg-poli_Enquete_Brief,,0,61,61,"ja, ernstig beperkt; ja, een beetje beperkt; nee, helemaal niet beperkt",Aftercare activities 100m walk
16263,Nazorg bezigheden wassen aankleden,,,,,Nazorg bezigheden wassen aankleden,Nazorg-poli_Enquete_Brief,,0,63,63,"ja, ernstig beperkt; ja, een beetje beperkt; nee, helemaal niet beperkt","Aftercare activities washing, dressing"
16271,Nazorg sociale bezigheden,,,,,Nazorg sociale bezigheden,Nazorg-poli_Enquete_Brief,,0,62,62,helemaal niet; enigszins; nogal; veel; heel erg veel,Aftercare for social activities
16273,Nazorg pijn afgelopen 4 weken,,,,,Nazorg pijn afgelopen 4 weken,Nazorg-poli_Enquete_Brief,,0,60,60,geen; heel licht; licht; nogal; ernstig; heel ernstig,Aftercare for pain over the past 4 weeks
16274,Nazorg pijn werkzaamheden afgelopen 4 weken,,,,,Nazorg pijn werkzaamheden afgelopen 4 weken,Nazorg-poli_Enquete_Brief,,0,58,58,helemaal niet; een klein beetje; nogal; veel; heel erg veel,Aftercare pain work over the past 4 weeks
16275,Nazorg voelen levenslustig,,,,,Nazorg voelen levenslustig,Nazorg-poli_Enquete_Brief,,0,59,59,voortdurend; meestal; vaak; soms; zelden; nooit,Aftercare feel lively
16276,Nazorg voelen zenuwachtig,,,,,Nazorg voelen zenuwachtig,Nazorg-poli_Enquete_Brief,,0,59,59,voortdurend; meestal; vaak; soms; zelden; nooit,Aftercare feeling nervous
16277,Nazorg voelen in de put,,,,,Nazorg voelen in de put,Nazorg-poli_Enquete_Brief,,0,60,60,voortdurend; vaak; soms; zelden; nooit,Feeling aftercare in the pit
16278,Nazorg voelen kalm rustig,,,,,Nazorg voelen kalm rustig,Nazorg-poli_Enquete_Brief,,0,59,59,voortdurend; meestal; vaak; soms; zelden; nooit,Aftercare feeling calm peaceful
16279,Nazorg voelen energiek,,,,,Nazorg voelen energiek,Nazorg-poli_Enquete_Brief,,0,58,58,voortdurend; meestal; vaak; soms; zelden; nooit,Aftercare feel energized
16280,Nazorg voelen neerslachtig somber,,,,,Nazorg voelen neerslachtig somber,Nazorg-poli_Enquete_Brief,,0,59,59,voortdurend; vaak; soms; zelden; nooit,Aftercare feel dejected gloomy
16281,Nazorg voelen uitgeblust,,,,,Nazorg voelen uitgeblust,Nazorg-poli_Enquete_Brief,,0,59,59,voortdurend; meestal; vaak; soms; zelden; nooit,Aftercare feeling exhausted
16282,Nazorg voelen gelukkig,,,,,Nazorg voelen gelukkig,Nazorg-poli_Enquete_Brief,,0,60,60,voortdurend; meestal; vaak; soms; zelden; nooit,Aftercare feel happy
16283,Nazorg voelen moe,,,,,Nazorg voelen moe,Nazorg-poli_Enquete_Brief,,0,60,60,voortdurend; meestal; vaak; soms; zelden; nooit,Aftercare feeling tired
16284,Nazorg belemmering sociale activiteiten,,,,,Nazorg belemmering sociale activiteiten,Nazorg-poli_Enquete_Brief,,0,58,58,voortdurend; meestal; soms; zelden; nooit,Aftercare obstruction to social activities
16285,Nazorg uitspraken gemakkelijk ziek,,,,,Nazorg uitspraken gemakkelijk ziek,Nazorg-poli_Enquete_Brief,,0,60,60,volkomen juist; grotendeels juist; weet ik niet; grotendeels onjuist; volkomen onjuist,Aftercare statements get sick easily
16286,Nazorg uitspraken net zo gezond,,,,,Nazorg uitspraken net zo gezond,Nazorg-poli_Enquete_Brief,,0,59,59,volkomen juist; grotendeels juist; weet ik niet; grotendeels onjuist; volkomen onjuist,Aftercare statements are just as healthy
16287,Nazorg uitspraken achteruitgaan gezondheid,,,,,Nazorg uitspraken achteruitgaan gezondheid,Nazorg-poli_Enquete_Brief,,0,60,60,volkomen juist; grotendeels juist; weet ik niet; grotendeels onjuist; volkomen onjuist,Aftercare statements deteriorating health
16288,Nazorg uitspraken gezondheid uitstekend,,,,,Nazorg uitspraken gezondheid uitstekend,Nazorg-poli_Enquete_Brief,,0,59,59,volkomen juist; grotendeels juist; weet ik niet; grotendeels onjuist; volkomen onjuist,Aftercare statements health excellent
16295,Nazorg reacties aantal pijnlijke beelden,,,,,Nazorg reacties aantal pijnlijke beelden,Nazorg-poli_Enquete_Brief,,0,59,59,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare reactions number of painful images
16296,Nazorg reacties nachtmerries,,,,,Nazorg reacties nachtmerries,Nazorg-poli_Enquete_Brief,,0,58,58,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare reactions nightmares
16297,Nazorg reacties opname opnieuw plaatsvinden,,,,,Nazorg reacties opname opnieuw plaatsvinden,Nazorg-poli_Enquete_Brief,,0,58,58,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare reactions and recording take place again
16298,Nazorg reacties van slag,,,,,Nazorg reacties van slag,Nazorg-poli_Enquete_Brief,,0,58,58,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare reactions of blow
16299,Nazorg reacties lichamelijke verschijnselen,,,,,Nazorg reacties lichamelijke verschijnselen,Nazorg-poli_Enquete_Brief,,0,57,57,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare reactions physical symptoms
16300,Nazorg reacties vermijden gedachten,,,,,Nazorg reacties vermijden gedachten,Nazorg-poli_Enquete_Brief,,0,57,57,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare responses avoid thoughts
16301,Nazorg reacties vermijden activiteiten,,,,,Nazorg reacties vermijden activiteiten,Nazorg-poli_Enquete_Brief,,0,57,57,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare reactions avoid activities
16302,Nazorg reacties delen herinneren,,,,,Nazorg reacties delen herinneren,Nazorg-poli_Enquete_Brief,,0,51,51,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare comments share remember
16303,Nazorg reacties moeilijk genieten,,,,,Nazorg reacties moeilijk genieten,Nazorg-poli_Enquete_Brief,,0,54,54,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare reactions difficult to enjoy
16304,Nazorg reacties minder betrokken,,,,,Nazorg reacties minder betrokken,Nazorg-poli_Enquete_Brief,,0,54,54,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare responses less involved
16305,Nazorg reacties verdrietig,,,,,Nazorg reacties verdrietig,Nazorg-poli_Enquete_Brief,,0,54,54,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare reactions sad
16306,Nazorg reacties pessimistisch,,,,,Nazorg reacties pessimistisch,Nazorg-poli_Enquete_Brief,,0,56,56,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare reactions pessimistic
16307,Nazorg reacties inslapen,,,,,Nazorg reacties inslapen,Nazorg-poli_Enquete_Brief,,0,55,55,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare reactions falling asleep
16308,Nazorg reacties geïrriteerd,,,,,Nazorg reacties geïrriteerd,Nazorg-poli_Enquete_Brief,,0,55,55,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare reactions annoyed
16309,Nazorg reacties concentratie,,,,,Nazorg reacties concentratie,Nazorg-poli_Enquete_Brief,,0,55,55,helemaal niet; 1 keer; 2-3 keer; 4-6 keer; iedere dag,Aftercare reactions concentration
16310,Nazorg reacties op uw hoede,,,,,Nazorg reacties op uw hoede,Nazorg-poli_Enquete_Brief,,0,54,54,helemaal niet; 1 keer; 2-3 keer; iedere dag,Aftercare reactions be wary
16311,Nazorg reacties schrikachtig,,,,,Nazorg reacties schrikachtig,Nazorg-poli_Enquete_Brief,,0,54,54,helemaal niet; 1 keer; 2-3 keer; iedere dag,Aftercare reactions startling
16312,Nazorg ernst reacties pijnlijke beelden,,,,,Nazorg ernst reacties pijnlijke beelden,Nazorg-poli_Enquete_Brief,,0,58,58,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity of reactions painful images
16313,Nazorg ernst reacties concentratie,,,,,Nazorg ernst reacties concentratie,Nazorg-poli_Enquete_Brief,,0,54,54,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity of reactions concentration
16314,Nazorg ernst reacties delen herinneren,,,,,Nazorg ernst reacties delen herinneren,Nazorg-poli_Enquete_Brief,,0,49,49,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity reactions share remember
16315,Nazorg ernst reacties geïrriteerd,,,,,Nazorg ernst reacties geïrriteerd,Nazorg-poli_Enquete_Brief,,0,51,51,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity of reactions irritated
16316,Nazorg ernst reacties inslapen,,,,,Nazorg ernst reacties inslapen,Nazorg-poli_Enquete_Brief,,0,52,52,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity of reactions to falling asleep
16317,Nazorg ernst reacties lichamelijke verschijnselen,,,,,Nazorg ernst reacties lichamelijke verschijnselen,Nazorg-poli_Enquete_Brief,,0,54,54,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity of reactions physical symptoms
16318,Nazorg ernst reacties minder betrokken,,,,,Nazorg ernst reacties minder betrokken,Nazorg-poli_Enquete_Brief,,0,52,52,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity of reactions less involved
16319,Nazorg ernst reacties moeilijk genieten,,,,,Nazorg ernst reacties moeilijk genieten,Nazorg-poli_Enquete_Brief,,0,52,52,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity of reactions difficult to enjoy
16320,Nazorg ernst reacties nachtmerries,,,,,Nazorg ernst reacties nachtmerries,Nazorg-poli_Enquete_Brief,,0,57,57,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity of reactions nightmares
16321,Nazorg ernst reacties op uw hoede,,,,,Nazorg ernst reacties op uw hoede,Nazorg-poli_Enquete_Brief,,0,51,51,geen last; weinig last; matig last; erg veel last,Aftercare severity reactions be on the lookout
16322,Nazorg ernst reacties opname opnieuw plaatsvinden,,,,,Nazorg ernst reacties opname opnieuw plaatsvinden,Nazorg-poli_Enquete_Brief,,0,56,56,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity of reactions admission should take place again
16323,Nazorg ernst reacties pessimistisch,,,,,Nazorg ernst reacties pessimistisch,Nazorg-poli_Enquete_Brief,,0,54,54,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity reactions pessimistic
16324,Nazorg ernst reacties schrikachtig,,,,,Nazorg ernst reacties schrikachtig,Nazorg-poli_Enquete_Brief,,0,52,52,geen last; weinig last; matig last; veel last; erg veel last,Aftercare seriousness reactions startling
16325,Nazorg ernst reacties van slag,,,,,Nazorg ernst reacties van slag,Nazorg-poli_Enquete_Brief,,0,56,56,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity reactions of upset
16326,Nazorg ernst reacties verdrietig,,,,,Nazorg ernst reacties verdrietig,Nazorg-poli_Enquete_Brief,,0,52,52,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity reactions sad
16327,Nazorg ernst reacties vermijden activiteiten,,,,,Nazorg ernst reacties vermijden activiteiten,Nazorg-poli_Enquete_Brief,,0,53,53,geen last; matig last; veel last; erg veel last,Aftercare severity of reactions avoiding activities
16328,Nazorg ernst reacties vermijden gedachten,,,,,Nazorg ernst reacties vermijden gedachten,Nazorg-poli_Enquete_Brief,,0,59,59,geen last; weinig last; matig last; veel last; erg veel last,Aftercare severity reactions avoidance thoughts
16411,Thoraxdrain Indicatie,,,,,Thoraxdrain Indicatie,Klinische verrichting Thoraxdrain,,0,280,280,Pneumothorax; Chylothorax; Empyeem; Pleuravocht; Hematothorax; Overig,Chest Drain Indication
16448,Veneuze lijn soort,,,,,Veneuze lijn soort,Klinische verrichting Lijnen,,0,3156,3156,Dialyselijn Femoralis; Dialyselijn Jugularis; Dialyselijn Subclavia; Trilumen Femoralis; Trilumen Jugularis; Trilumen Subclavia; Quad lumen Femoralis; Quad lumen Subclavia; Quad lumen Jugularis; Swan Ganz Femoralis; Swan Ganz Jugularis; Swan Ganz Subclavia; Sideport; Enkel lumen Jugularis; Enkel lumen Subclavia; Sheet Swan Ganz; Duo lumen Jugularis; Duo lumen Subclavia; Veneuze sheet; Trauma catheter Femoralis; Trauma catheter Jugularis; Anders,Venous line type
16602,Rotem Indicatie,,,,,Rotem Indicatie,Rotem,,0,14,14,Post operatieve bloeding; Poly transfusie overig; Afwijkend stollingsonderzoek; Overig,Rotem Indication
16604,Rotem Interpretatie,,,,,Rotem Interpretatie,Rotem,,0,8,8,"Factor deficiëntie in intem (XII, XI, IX, VIII, X, V, II, I); Fibrinogeen deficiëntie; Overig",Rotem Interpretation
16606,Rotem Ondernomen actie,,,,,Rotem Ondernomen actie,Rotem,,0,6,6,FFP’s; Thrombocytenconcentraat; Fibrinogeen; Overig,Rotem Action taken
16627,MCA_Chronische_ziekten,,,,,MCA_Chronische_ziekten,APACHE II MICV,,0,366,366,Acute opname; Electieve opname; Spoedchirurgie,MCA_Chronic_diseases
16628,MCA_Eye,Glasgow Coma Score eye opening subscore,LOINC,9267-6,Glasgow coma score eye opening,MCA_Eye,APACHE II MICV,,0,1923,1923,Niet; Op pijn; Op aanspreken; Spontaan,Glasgow Coma Score eye opening subscore
16634,MCA_Motoriek,Glasgow Coma Score motor response subscore,LOINC,9268-4,Glasgow coma score motor,MCA_Motoriek,APACHE II MICV,,0,1922,1922,Geen reactie; Strekken op pijn; Abnormaal buigen bij pijn; Terugtrekken bij pijn; Localiseren pijn; Voert opdrachten uit,Glasgow Coma Score motor response subscore
16640,MCA_Verbal,Glasgow Coma Score verbal response subscore,LOINC,9270-0,Glasgow coma score verbal,MCA_Verbal,APACHE II MICV,,0,1920,1920,Geen geluid; Onverstaanbare woorden; Onjuiste woorden; Verwarde taal; Georiënteerd,Glasgow Coma Score verbal response subscore
16642,DMC_Algemene chirurgie_Algemeen,,,,,DMC_Algemene chirurgie_Algemeen,Diagnose,,0,20,20,Respiratoire insufficientie na ok; Haemorragische shock; Sepsis; Diagnose anders,DMC_General surgery_General
16643,DMC_Algemene chirurgie_Buikchirurgie,,,,,DMC_Algemene chirurgie_Buikchirurgie,Diagnose,,0,456,456,Pancreatitis/pancreatectomie; Lever resectie/perfusie; Galblaas/ galwegen chirurgie; Oesophagus/maag chirurgie; Dunne/dikkedarm chirurgie (perforatie of obstructie); Proeflaparotomie; Gastro-intestinaal voor bloeding; Gastro-intestinaal voor neoplasma; Gastro-intestinaal overig; Diagnose anders,DMC_General surgery_Abdominal surgery
16644,DMC_Algemene chirurgie_Endocrinologische chirurgie,,,,,DMC_Algemene chirurgie_Endocrinologische chirurgie,Diagnose,,0,26,26,Endocrinologische chirurgie; Diagnose anders,DMC_General surgery_Endocrinological surgery
16645,DMC_Algemene chirurgie_KNO/Overige,,,,,DMC_Algemene chirurgie_KNO/Overige,Diagnose,,0,50,50,Mond/keelholte/kaak chirurgie (hemodynamische bewaking); Mond/keelholte/kaak chirurgie (respiratoire bewaking); Overige chirurgie (hemodynamische bewaking); Overige chirurgie (respiratoire bewaking); Diagnose anders,DMC_General surgery_ENT/Other
16646,DMC_Algemene chirurgie_Orthopedische chirurgie,,,,,DMC_Algemene chirurgie_Orthopedische chirurgie,Diagnose,,0,38,38,Orthopedische chirurgie (hemodynamische bewaking); Orthopedische chirurgie (respiratoire bewaking); Intercorporele spondylodese; Diagnose anders,DMC_General surgery_Orthopedic surgery
16647,DMC_Algemene chirurgie_Transplantatie chirurgie,,,,,DMC_Algemene chirurgie_Transplantatie chirurgie,Diagnose,,0,122,122,Nier en pancreastransplantatie; Niertransplantatie,DMC_General surgery_Transplant surgery
16648,DMC_Algemene chirurgie_Trauma,,,,,DMC_Algemene chirurgie_Trauma,Diagnose,,0,241,241,Multi trauma (operatief); Multi trauma (niet operatief); Hoofdtrauma (niet operatief); Thoraxtrauma (operatief); Thoraxtrauma (niet operatief); Buiktrauma (operatief); Buiktrauma (niet operatief); Trauma wervelfr/dwarslaesie (operatief); Trauma wervelfr/dwarslaesie (niet operatief); Extremiteitentrauma (operatief); Extremiteitentrauma (niet operatief); Diagnose anders,DMC_General Surgery_Trauma
16649,DMC_Algemene chirurgie_Urogenitaal,,,,,DMC_Algemene chirurgie_Urogenitaal,Diagnose,,0,85,85,Nefrectomie (neoplasma); Nefrectomie (overige); Urologie (overige); Gynacologische chirurgie (hemodynamische bewaking); Gynacologische chirurgie (respiratoire bewaking); Diagnose anders,DMC_General surgery_Urogenital
16650,DMC_Algemene chirurgie_Vaatchirurgie,,,,,DMC_Algemene chirurgie_Vaatchirurgie,Diagnose,,0,334,334,Vaatchirurgie abdominaal; Thoraco-abdominale aorta vervanging; Vaatchirurgie perifeer; Embolectomie/trombolyse; Observatie aneurysma; EVAR; PTCA (perifere vaten); Overige (niet operatief); Diagnose anders,DMC_General Surgery_Vasurgical Surgery
16651,DMC_Hoofdgroep,,,,,DMC_Hoofdgroep,Diagnose,,0,2943,2943,Thoraxchirurgie; Algemene chirurgie; Neurochirurgie; Neurologie; Interne geneeskunde,DMC_Main group
16652,DMC_Interne Geneeskunde_Abdominaal,,,,,DMC_Interne Geneeskunde_Abdominaal,Diagnose,,0,30,30,Cholangitis/Pancratitis; Leverinsufficientie; Bloeding tractus digestivus; Diagnose anders,DMC_Internal Medicine_Abdominal
16653,DMC_Interne Geneeskunde_Cardiovasculair,,,,,DMC_Interne Geneeskunde_Cardiovasculair,Diagnose,,0,67,67,Cardiogene shock; Sepsis; Decompensatio cordis; Angina pectoris/myocardinfarct; Ritme stoornissen; Na reanimatie; Hypertensie; Thoracaal of abdominaal aneurysma; Diagnose anders,DMC_Internal Medicine_Cardiovascular
16654,DMC_Interne Geneeskunde_Hematologisch,,,,,DMC_Interne Geneeskunde_Hematologisch,Diagnose,,0,4,4,TTP/HUS; Hematologische maligniteit; Diagnose anders,DMC_Internal Medicine_Hematological
