source_concept_id,source_concept,ordercategoryid,ordercategoryname,count,source_concept_en
12914,Dec. wondverzorging Oor Re,101,Opdr. Huid,17,Dec. wound care Ear Re
12917,Dec. wondverzorging Stuit,101,Opdr. Huid,429,Dec. wound care Stuit
12920,Dec. wondverzorging Tenen Li,101,Opdr. Huid,32,Dec. wound care Tenen Li
12921,Dec. wondverzorging Tenen Re,101,Opdr. Huid,21,Dec. wound care Toes Re
12925,Wedge-druk meten,81,Opdr. Circulatie,11,Measuring wedge pressure
12926,Sildenafil-spiegel afnemen,73,Opdr. Laboratorium afname,8,Decrease sildenafil level
12928,Urine sparen,73,Opdr. Laboratorium afname,378,Save urine
12929,Faeces verzamelen,73,Opdr. Laboratorium afname,341,Collect feces
12939,Lauwwater klysma geven,84,Opdr. Gastro-Intestinaal,230,Give lukewarm water enema
12954,CVVH-citraat lab. afnemen,73,Opdr. Laboratorium afname,12302,CVVH Citrate Lab. to decrease
12955,CVVH-citraat Calciumpomp starten,105,Opdr. CVVH,692,CVVH citrate Start calcium pump
12980,Wondverz. Operatie & Trauma(1),101,Opdr. Huid,1227,Wound care Surgery & Trauma(1)
12981,Wondverz. Operatie & Trauma(2),101,Opdr. Huid,66,Wound care Surgery & Trauma(2)
12983,Wondverz. Dermatologisch & Endogeen(1),101,Opdr. Huid,381,Wound care Dermatological & Endogenous(1)
12984,Wondverz. Dermatologisch & Endogeen(2),101,Opdr. Huid,47,Wound care Dermatological & Endogenous(2)
12985,Wondverz. Dermatologisch & Endogeen(3),101,Opdr. Huid,3,Wound care Dermatological & Endogenous(3)
12986,Wondverz  Verbranding/Bevriezing/Etsing/Straling1,101,Opdr. Huid,38,Wound care Burning/Freezing/Etching/Radiation1
12988,Wondverz. Verbranding/Bevriezing/Etsing/Straling3,101,Opdr. Huid,2,Wound care Combustion/Freezing/Etching/Radiation3
12989,Consult Wondverpleegkundige,101,Opdr. Huid,238,Consult Wound Nurse
12991,SIG lab afnemen,73,Opdr. Laboratorium afname,3,Take SIG lab
13011,X-Opdr. Voeding,116,Opdr. Voeding,3833,X-Order Power supply
13021,Gantt-lijst controle,89,Opdr. Overig,244028,Gantt list control
13024,SDD Inventarisatiekweken afnemen,74,Opdr. Kweken afnemen,3101,SDD Take inventory cultures
13053,72 uurs Gesloten uitzuigsysteem verschonen,90,Opdr. Lijnen/Catheter/Drains,835,72 hours Change closed suction system
13158,Schildklierfunctie,73,Opdr. Laboratorium afname,483,Thyroid function
13494,X-Thorax 8.00u,73,Opdr. Laboratorium afname,13554,Chest X-ray 8:00 am
13849,Propofol infuuslijn verschonen,90,Opdr. Lijnen/Catheter/Drains,5303,Change propofol infusion line
13932,Filter expiratie cassette verwisselen,90,Opdr. Lijnen/Catheter/Drains,29685,Change exhalation filter cassette
13954,VVA-score invullen,89,Opdr. Overig,2238,Enter VVA score
14136,Consult Revalidatie arts,87,Opdr. Houding & Beweging,32,Consult Rehabilitation doctor
14208,Voriconazol spiegel afnemen,73,Opdr. Laboratorium afname,154,Decrease voriconazole level
14217,Bladderscan,85,Opdr. Urologisch,441,Bladder scan
14537,Decubitus-wondverzorging,101,Opdr. Huid,1573,Pressure ulcer wound care
14610,Score bepalen en registreren,89,Opdr. Overig,328,Determine and register score
14689,Start realiteitsoriëntatie,89,Opdr. Overig,110,Start reality orientation
14690,Dagprogramma,89,Opdr. Overig,2418,Day program
14692,Ramsay score bepalen,89,Opdr. Overig,31,Determine Ramsay score
15140,VAS score bepalen,83,Opdr. Neurologisch,17667,Determine VAS score
15141,VVA toewijzen,89,Opdr. Overig,108,Assign VVA
15166,DOS-score invullen,89,Opdr. Overig,12497,Enter DOS score
15173,Sondepleister verschonen,104,Opdr. Verzorging,3242,Change probe patch
15274,2D Lab. NCH Dagelijks 6.00u,73,Opdr. Laboratorium afname,1680,2D Lab. NCH Daily 6am
15275,2D Lab. HLK Dagelijks 6.00u,73,Opdr. Laboratorium afname,4965,2D Lab. HLK Daily 6am
15276,2D Lab. Uitgebreid Dagelijks 6.00u,73,Opdr. Laboratorium afname,484,2D Lab. Extensive Daily 6:00 am
15283,Verpl. beloop bijwerken,89,Opdr. Overig,8179,Move update course
15776,NDT-systeem verschonen,90,Opdr. Lijnen/Catheter/Drains,285,Change NDT system
16051,Lab. Nabepalen,73,Opdr. Laboratorium afname,493,Lab. Determination
16089,Cardioversie 100 J,81,Opdr. Circulatie,118,Cardioversion 100 J
16090,Cardioversie 150 J,81,Opdr. Circulatie,10,Cardioversion 150 J
16091,Cardioversie 200 J,81,Opdr. Circulatie,22,Cardioversion 200 J
16093,Defibrillatie 360 J,81,Opdr. Circulatie,13,Defibrillation 360 J
16094,Cardioversie 50 J,81,Opdr. Circulatie,108,Cardioversion 50 J
16164,Cardioversie 360 J,81,Opdr. Circulatie,11,Cardioversion 360 J
16165,Pre-cordiale stomp,81,Opdr. Circulatie,3,Precordial stump
16340,CAD silicone ballon legen,90,Opdr. Lijnen/Catheter/Drains,13,Deflating CAD silicone balloon
16359,MRI scan,103,Opdr. Radiologie,32,MRI scan
16451,Spreekklep geven,82,Opdr. Respiratie,646,Give a talking valve
16678,Weekend medicatie bestellen,89,Opdr. Overig,4410,Order weekend medication
16679,Defibrillatie 200 J,81,Opdr. Circulatie,163,Defibrillation 200 J
16680,Cardioversie 70 J,81,Opdr. Circulatie,15,Cardioversion 70 J
16684,Cardioversie x J,81,Opdr. Circulatie,72,Cardioversion x J
16852,CPAP filter verschonen,90,Opdr. Lijnen/Catheter/Drains,133,Change CPAP filter
16902,IABP check drukzak,81,Opdr. Circulatie,638,IABP check pressure bag
16906,PURsonde vervangen,90,Opdr. Lijnen/Catheter/Drains,280,Replace PUR probe
16918,Controle positie substitutielijn (predilutie),105,Opdr. CVVH,5265,Control position substitution line (predilution)
16943,Pleurapunctie diagnostisch,82,Opdr. Respiratie,26,Pleural puncture diagnostic
16944,Pleurapunctie therapeutisch,82,Opdr. Respiratie,53,Pleural puncture therapeutic
16945,Laryngoscopie (In)direct,82,Opdr. Respiratie,62,Laryngoscopy (In)direct
19146,Familiegesprek plannen,86,Opdr. Psycho-sociaal,1404,Schedule a family meeting
19357,Defibrillatie x J,81,Opdr. Circulatie,33,Defibrillation x J
19605,MDO bespreking plannen,86,Opdr. Psycho-sociaal,2,Plan MDO discussion
19661,Pijnscore bepalen,83,Opdr. Neurologisch,88461,Determine pain score
19663,Research Neuskweek COUrSe,74,Opdr. Kweken afnemen,1450,Research Nasal Culture COURSe
19664,Research Sputumkweek COUrSe,74,Opdr. Kweken afnemen,1315,Research Sputum Culture COURSe
19736,RASS score bepalen,83,Opdr. Neurologisch,51,Determine RASS score
19737,EMV score bepalen,83,Opdr. Neurologisch,1437,Determine EMV score
19889,TR-band controle,81,Opdr. Circulatie,296,TR band control
20071,Flexiseal spoelen,84,Opdr. Gastro-Intestinaal,4010,Flexiseal coils
20157,SNAQ score bepalen,116,Opdr. Voeding,161,Determine SNAQ score
20161,Transport incidenten formulier invullen,89,Opdr. Overig,59,Complete transport incident form
20196,Matras wisselen,101,Opdr. Huid,10,Change mattress
20255,Lengte meten  m.b.v. meetlint,89,Opdr. Overig,1108,Measure length using measuring tape
20271,Spuitpomp en Infuus controle op datum en tijd,90,Opdr. Lijnen/Catheter/Drains,13942,Syringe pump and infusion control by date and time
20285,Wassen met Hibiscrub,104,Opdr. Verzorging,490,Wash with Hibiscrub
20286,Passport  preoperatief invullen,89,Opdr. Overig,64,Complete the passport preoperatively
20287,Preoperatief antistolling stoppen,89,Opdr. Overig,46,Stop anticoagulation preoperatively
20288,Preoperatief kruisbloed afnemen,89,Opdr. Overig,92,Preoperative cross blood collection
20289,Preoperatief nuchterbeleid,89,Opdr. Overig,112,Preoperative fasting policy
20359,CAM-ICU score bepalen,83,Opdr. Neurologisch,18391,Determine CAM-ICU score
20393,Opnieuw profiel monitor en alarmen instellen,89,Opdr. Overig,47013,Re-profile monitor and set alarms
20711,Citraatslot verversen,105,Opdr. CVVH,95,Refresh citrate lock
20712,Vervangen binnencanule Portex Blue Line Ultra,82,Opdr. Respiratie,31,Replacing Portex Blue Line Ultra inner cannula
20713,Verschonen tracheacanule fixatie-bandje,82,Opdr. Respiratie,65,Change tracheostomy tube fixation strap
20714,Wisselligging buikligging,82,Opdr. Respiratie,121,Alternating prone position
20717,Huid neus checken op decubitus bij NIV,82,Opdr. Respiratie,21,Check the skin of the nose for pressure ulcers at NIV
20747,CAD met temperatuur-sensor,89,Opdr. Overig,15,CAD with temperature sensor
21080,TED kousen uit,87,Opdr. Houding & Beweging,144,TED stockings off
21105,ECMO Time OUT (check),81,Opdr. Circulatie,11,ECMO Time OUT (check)
21108,ECMO - aPTT controle,73,Opdr. Laboratorium afname,10,ECMO - aPTT control
21111,Kalibratie PiCCO,81,Opdr. Circulatie,502,Calibration PiCCO
21179,Pacemaker batterij wisselen,81,Opdr. Circulatie,14,Change pacemaker battery
21193,Controle nabloeden,81,Opdr. Circulatie,66,Bleeding control
21228,"Wisselen  waterfles,maaghevelspuit ,vernevelse",89,Opdr. Overig,1580,"Change water bottle, gastric siphon syringe, nebulizer"
21240,Nulmeting mobilisatie,89,Opdr. Overig,924,Baseline measurement of mobilization
